epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,3417826048.0,0.5341827273368835
0,2,,,0.6664552688598633,,
1,5,,,,3417825280.0,0.1974012851715088
1,5,,,0.1900947093963623,,
2,8,,,,3417824512.0,0.16282354295253754
2,8,,,0.19554761052131653,,
3,11,,,,3417824000.0,0.09599971026182175
3,11,,,0.18761049211025238,,
4,14,,,,3417823744.0,0.08389295637607574
4,14,,,0.1807660013437271,,
5,17,,,,3417822976.0,0.038626622408628464
5,17,,,0.16581204533576965,,
6,20,,,,3417821696.0,0.05149635672569275
6,20,,,0.1563340574502945,,
7,23,,,,3417821440.0,0.16415555775165558
7,23,,,0.1300104260444641,,
8,26,,,,3417820416.0,0.08980266004800797
8,26,,,0.12090542167425156,,
9,29,,,,3417819648.0,0.056396663188934326
9,29,,,0.12475255131721497,,
10,32,,,,3417819392.0,0.0861685499548912
10,32,,,0.10838722437620163,,
11,35,,,,3417818880.0,0.0861685499548912
11,35,,,0.09799917787313461,,
12,38,,,,3417819392.0,0.07196227461099625
12,38,,,0.09017986804246902,,
13,41,,,,3417820160.0,0.058059584349393845
13,41,,,0.08400732278823853,,
14,44,,,,3417820160.0,0.058059584349393845
14,44,,,0.08394530415534973,,
15,47,,,,3417820160.0,0.058059584349393845
15,47,,,0.08096500486135483,,
16,50,,,,3417820160.0,0.058059584349393845
16,50,,,0.07477051764726639,,
17,53,,,,3417819904.0,0.039494507014751434
17,53,,,0.07307726889848709,,
18,56,,,,3417819904.0,0.039494507014751434
18,56,,,0.06998079270124435,,
19,59,,,,3417819904.0,0.039494507014751434
19,59,,,0.06904495507478714,,
20,62,,,,3417819392.0,0.039494507014751434
20,62,,,0.06691254675388336,,
21,65,,,,3417819392.0,0.039494507014751434
21,65,,,0.06656737625598907,,
22,68,,,,3417819648.0,0.039494507014751434
22,68,,,0.06532978266477585,,
23,71,,,,3417819904.0,0.039494507014751434
23,71,,,0.06487155705690384,,
24,74,,,,3417819904.0,0.039494507014751434
24,74,,,0.0644756406545639,,
25,77,,,,3417819904.0,0.039494507014751434
25,77,,,0.06406582146883011,,
26,80,,,,3417819904.0,0.028287693858146667
26,80,,,0.06345922499895096,,
27,83,,,,3417819904.0,0.028287693858146667
27,83,,,0.06304781883955002,,
28,86,,,,3417819904.0,0.039494507014751434
28,86,,,0.06285831332206726,,
29,89,,,,3417819904.0,0.039494507014751434
29,89,,,0.06250211596488953,,
30,92,,,,3417819904.0,0.039494507014751434
30,92,,,0.06257547438144684,,
31,95,,,,3417819904.0,0.039494507014751434
31,95,,,0.06207359582185745,,
32,98,,,,3417819904.0,0.039494507014751434
32,98,,,0.06191854551434517,,
33,101,,,,3417819904.0,0.039494507014751434
33,101,,,0.06191554665565491,,
34,104,,,,3417819904.0,0.028287693858146667
34,104,,,0.06168266013264656,,
35,107,,,,3417819904.0,0.028287693858146667
35,107,,,0.061537954956293106,,
36,110,,,,3417819904.0,0.028287693858146667
36,110,,,0.06147788465023041,,
37,113,,,,3417819904.0,0.028287693858146667
37,113,,,0.06143082678318024,,
38,116,,,,3417819904.0,0.028287693858146667
38,116,,,0.061361365020275116,,
39,119,,,,3417819904.0,0.028287693858146667
39,119,,,0.06128851696848869,,
40,122,,,,3417819904.0,0.028287693858146667
40,122,,,0.06127513200044632,,
41,125,,,,3417819904.0,0.028287693858146667
41,125,,,0.06123365834355354,,
42,128,,,,3417819904.0,0.028287693858146667
42,128,,,0.06123000383377075,,
43,131,,,,3417819904.0,0.028287693858146667
43,131,,,0.06118243932723999,,
44,134,,,,3417819904.0,0.028287693858146667
44,134,,,0.06116236746311188,,
45,137,,,,3417819904.0,0.028287693858146667
45,137,,,0.061146147549152374,,
46,140,,,,3417819904.0,0.028287693858146667
46,140,,,0.061136119067668915,,
47,143,,,,3417819904.0,0.028287693858146667
47,143,,,0.06111782416701317,,
48,146,,,,3417819904.0,0.028287693858146667
48,146,,,0.06111526861786842,,
49,149,,,,3417819904.0,0.028287693858146667
49,149,,,0.061109092086553574,,
50,152,,,,3417819904.0,0.028287693858146667
50,152,,,0.061098597943782806,,
51,155,,,,3417819904.0,0.028287693858146667
51,155,,,0.061088625341653824,,
52,158,,,,3417819904.0,0.028287693858146667
52,158,,,0.061087336391210556,,
53,161,,,,3417819904.0,0.028287693858146667
53,161,,,0.061081185936927795,,
54,164,,,,3417819904.0,0.028287693858146667
54,164,,,0.06108011677861214,,
55,167,,,,3417819904.0,0.028287693858146667
55,167,,,0.06107388436794281,,
56,170,,,,3417819904.0,0.028287693858146667
56,170,,,0.061072006821632385,,
57,173,,,,3417819904.0,0.028287693858146667
57,173,,,0.06107078492641449,,
58,176,,,,3417819904.0,0.028287693858146667
58,176,,,0.061069317162036896,,
59,179,,,,3417819904.0,0.028287693858146667
59,179,,,0.061066292226314545,,
60,182,,,,3417819904.0,0.028287693858146667
60,182,,,0.061065446585416794,,
61,185,,,,3417819904.0,0.028287693858146667
61,185,,,0.061064496636390686,,
62,188,,,,3417819904.0,0.028287693858146667
62,188,,,0.06106451898813248,,
63,191,,,,3417819904.0,0.028287693858146667
63,191,,,0.06106288731098175,,
64,194,,,,3417819904.0,0.028287693858146667
64,194,,,0.061062272638082504,,
65,197,,,,3417819904.0,0.028287693858146667
