epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,1846118016.0,0.35039854049682617
0,2,,,0.15870893001556396,,
1,5,,,,1846109952.0,0.08301778137683868
1,5,,,0.08027422428131104,,
2,8,,,,1846103680.0,0.05082360655069351
2,8,,,0.05923740565776825,,
3,11,,,,1846098688.0,0.05082360655069351
3,11,,,0.05150312930345535,,
4,14,,,,1846095616.0,0.013634761795401573
4,14,,,0.045871883630752563,,
5,17,,,,1846093440.0,0.013634761795401573
5,17,,,0.042777083814144135,,
6,20,,,,1846091392.0,0.013634761795401573
6,20,,,0.04064427316188812,,
7,23,,,,1846089472.0,0.013634761795401573
7,23,,,0.0390605702996254,,
8,26,,,,1846088064.0,0.013634761795401573
8,26,,,0.037659935653209686,,
9,29,,,,1846087424.0,0.013634761795401573
9,29,,,0.03659266233444214,,
10,32,,,,1846086400.0,0.013634761795401573
10,32,,,0.03613406419754028,,
11,35,,,,1846086016.0,0.013634761795401573
11,35,,,0.03572947159409523,,
12,38,,,,1846085376.0,0.013634761795401573
12,38,,,0.035413190722465515,,
13,41,,,,1846085376.0,0.013634761795401573
13,41,,,0.0349702425301075,,
14,44,,,,1846085248.0,0.013634761795401573
14,44,,,0.034864120185375214,,
15,47,,,,1846084992.0,0.013634761795401573
15,47,,,0.0347139947116375,,
16,50,,,,1846084992.0,0.013634761795401573
16,50,,,0.03465165197849274,,
17,53,,,,1846084864.0,0.013634761795401573
17,53,,,0.034463491290807724,,
18,56,,,,1846084992.0,0.013634761795401573
18,56,,,0.03438389301300049,,
19,59,,,,1846084992.0,0.013634761795401573
19,59,,,0.034378115087747574,,
20,62,,,,1846084864.0,0.013634761795401573
20,62,,,0.03426971286535263,,
21,65,,,,1846084864.0,0.013634761795401573
21,65,,,0.03420872613787651,,
22,68,,,,1846084864.0,0.013634761795401573
22,68,,,0.0341944694519043,,
23,71,,,,1846084864.0,0.013634761795401573
23,71,,,0.034169889986515045,,
24,74,,,,1846084864.0,0.013634761795401573
24,74,,,0.034143462777137756,,
25,77,,,,1846084864.0,0.013634761795401573
25,77,,,0.03410746902227402,,
26,80,,,,1846084864.0,0.013634761795401573
26,80,,,0.03409533575177193,,
27,83,,,,1846084864.0,0.013634761795401573
27,83,,,0.0340874046087265,,
28,86,,,,1846084864.0,0.013634761795401573
28,86,,,0.03407536447048187,,
29,89,,,,1846084864.0,0.013634761795401573
29,89,,,0.0340573750436306,,
30,92,,,,1846084352.0,0.013634761795401573
30,92,,,0.03404992073774338,,
31,95,,,,1846084864.0,0.013634761795401573
31,95,,,0.034036364406347275,,
32,98,,,,1846084864.0,0.013634761795401573
32,98,,,0.034037936478853226,,
33,101,,,,1846084864.0,0.013634761795401573
33,101,,,0.034025758504867554,,
34,104,,,,1846084864.0,0.013634761795401573
34,104,,,0.03402240201830864,,
35,107,,,,1846084864.0,0.013634761795401573
35,107,,,0.03401888161897659,,
36,110,,,,1846084864.0,0.013634761795401573
36,110,,,0.03401821851730347,,
37,113,,,,1846084864.0,0.013634761795401573
37,113,,,0.034012455493211746,,
38,116,,,,1846084864.0,0.013634761795401573
38,116,,,0.03401024639606476,,
39,119,,,,1846084864.0,0.013634761795401573
39,119,,,0.034009095281362534,,
40,122,,,,1846084864.0,0.013634761795401573
40,122,,,0.03400701656937599,,
41,125,,,,1846084864.0,0.013634761795401573
41,125,,,0.0340043380856514,,
42,128,,,,1846084864.0,0.013634761795401573
42,128,,,0.03400352969765663,,
43,131,,,,1846084864.0,0.013634761795401573
43,131,,,0.034002531319856644,,
44,134,,,,1846084864.0,0.013634761795401573
44,134,,,0.03400251269340515,,
45,137,,,,1846084864.0,0.013634761795401573
45,137,,,0.034001100808382034,,
46,140,,,,1846084864.0,0.013634761795401573
46,140,,,0.03400051221251488,,
47,143,,,,1846084864.0,0.013634761795401573
47,143,,,0.03400024399161339,,
48,146,,,,1846084864.0,0.013634761795401573
48,146,,,0.03399970754981041,,
49,149,,,,1846084864.0,0.013634761795401573
49,149,,,0.03399905562400818,,
50,152,,,,1846084864.0,0.013634761795401573
50,152,,,0.03399885073304176,,
51,155,,,,1846084864.0,0.013634761795401573
51,155,,,0.03399857506155968,,
52,158,,,,1846084864.0,0.013634761795401573
52,158,,,0.033998455852270126,,
53,161,,,,1846084864.0,0.013634761795401573
53,161,,,0.033998165279626846,,
54,164,,,,1846084864.0,0.013634761795401573
54,164,,,0.03399788960814476,,
55,167,,,,1846084864.0,0.013634761795401573
55,167,,,0.03399794176220894,,
56,170,,,,1846084864.0,0.013634761795401573
56,170,,,0.03399774059653282,,
57,173,,,,1846084864.0,0.013634761795401573
57,173,,,0.03399762511253357,,
58,176,,,,1846084864.0,0.013634761795401573
58,176,,,0.0339975580573082,,
59,179,,,,1846084864.0,0.013634761795401573
59,179,,,0.033997517079114914,,
60,182,,,,1846084864.0,0.013634761795401573
60,182,,,0.03399748355150223,,
61,185,,,,1846084864.0,0.013634761795401573
61,185,,,0.03399740159511566,,
62,188,,,,1846084864.0,0.013634761795401573
62,188,,,0.03399736061692238,,
63,191,,,,1846084864.0,0.013634761795401573
63,191,,,0.033997345715761185,,
64,194,,,,1846084864.0,0.013634761795401573
64,194,,,0.03399733081459999,,
65,197,,,,1846084864.0,0.013634761795401573
65,197,,,0.03399726375937462,,
66,200,,,,1846084864.0,0.013634761795401573
66,200,,,0.03399725630879402,,
67,203,,,,1846084864.0,0.013634761795401573
