epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,419305504.0,0.8886138200759888
0,2,,,26.323667526245117,,
1,5,,,,419303296.0,0.22455796599388123
1,5,,,9.345704078674316,,
2,8,,,,419302400.0,0.12193211168050766
2,8,,,11.677351951599121,,
3,11,,,,419302336.0,0.10729449987411499
3,11,,,10.591222763061523,,
4,14,,,,419302976.0,0.11344482749700546
4,14,,,9.424057006835938,,
5,17,,,,419303840.0,0.13957646489143372
5,17,,,7.986195087432861,,
6,20,,,,419304608.0,0.23519626259803772
6,20,,,7.308343410491943,,
7,23,,,,419305280.0,0.07885764539241791
7,23,,,5.658117771148682,,
8,26,,,,419306080.0,0.6496565937995911
8,26,,,4.848806381225586,,
9,29,,,,419306144.0,1.1269481182098389
9,29,,,4.943543910980225,,
10,32,,,,419305856.0,0.28747639060020447
10,32,,,4.566137790679932,,
11,35,,,,419305280.0,0.09215714782476425
11,35,,,4.448263168334961,,
12,38,,,,419305184.0,0.0698835626244545
12,38,,,4.374931335449219,,
13,41,,,,419305408.0,0.11658917367458344
13,41,,,4.007010459899902,,
14,44,,,,419305568.0,0.10413376241922379
14,44,,,3.771453619003296,,
15,47,,,,419305792.0,0.11497266590595245
15,47,,,3.6388556957244873,,
16,50,,,,419305920.0,0.11111650615930557
16,50,,,3.4541776180267334,,
17,53,,,,419306016.0,0.11173601448535919
17,53,,,3.3446199893951416,,
18,56,,,,419306016.0,0.11701072752475739
18,56,,,3.334411382675171,,
19,59,,,,419306112.0,0.10490284860134125
19,59,,,3.244039535522461,,
20,62,,,,419306048.0,0.091321662068367
20,62,,,3.213477849960327,,
21,65,,,,419306048.0,0.1358122080564499
21,65,,,3.1963610649108887,,
22,68,,,,419305952.0,0.143508180975914
22,68,,,3.1577117443084717,,
23,71,,,,419305920.0,0.13776713609695435
23,71,,,3.1258177757263184,,
24,74,,,,419305920.0,0.13776713609695435
24,74,,,3.1274302005767822,,
25,77,,,,419305920.0,0.13776713609695435
25,77,,,3.124424457550049,,
26,80,,,,419305920.0,0.13776713609695435
26,80,,,3.1195590496063232,,
27,83,,,,419305952.0,0.13776713609695435
27,83,,,3.1094586849212646,,
28,86,,,,419305920.0,0.13776713609695435
28,86,,,3.1020305156707764,,
29,89,,,,419305952.0,0.13776713609695435
29,89,,,3.0993733406066895,,
30,92,,,,419305920.0,0.13776713609695435
30,92,,,3.099761962890625,,
31,95,,,,419305952.0,0.13776713609695435
31,95,,,3.1001524925231934,,
32,98,,,,419305952.0,0.13776713609695435
32,98,,,3.1003997325897217,,
33,101,,,,419305952.0,0.13776713609695435
33,101,,,3.0972771644592285,,
34,104,,,,419305952.0,0.13776713609695435
34,104,,,3.0956780910491943,,
35,107,,,,419305952.0,0.13776713609695435
35,107,,,3.0943684577941895,,
36,110,,,,419305952.0,0.13776713609695435
36,110,,,3.0951664447784424,,
37,113,,,,419305920.0,0.13776713609695435
37,113,,,3.0937187671661377,,
38,116,,,,419305920.0,0.13776713609695435
38,116,,,3.093543529510498,,
39,119,,,,419305920.0,0.13776713609695435
39,119,,,3.093243360519409,,
40,122,,,,419305920.0,0.13776713609695435
40,122,,,3.093869686126709,,
41,125,,,,419305920.0,0.13776713609695435
41,125,,,3.092780113220215,,
42,128,,,,419305920.0,0.13776713609695435
42,128,,,3.092954397201538,,
43,131,,,,419305920.0,0.13776713609695435
43,131,,,3.0929253101348877,,
44,134,,,,419305920.0,0.13776713609695435
44,134,,,3.0927605628967285,,
45,137,,,,419305920.0,0.13776713609695435
45,137,,,3.0925214290618896,,
46,140,,,,419305920.0,0.13776713609695435
46,140,,,3.0925750732421875,,
47,143,,,,419305920.0,0.13776713609695435
47,143,,,3.092545986175537,,
48,146,,,,419305920.0,0.13776713609695435
48,146,,,3.0926034450531006,,
49,149,,,,419305920.0,0.13776713609695435
49,149,,,3.092456817626953,,
50,152,,,,419305920.0,0.13776713609695435
50,152,,,3.092482566833496,,
51,155,,,,419305920.0,0.13776713609695435
51,155,,,3.092447519302368,,
52,158,,,,419305920.0,0.13776713609695435
52,158,,,3.0924594402313232,,
53,161,,,,419305920.0,0.13776713609695435
53,161,,,3.092409610748291,,
54,164,,,,419305920.0,0.13776713609695435
54,164,,,3.0924246311187744,,
55,167,,,,419305920.0,0.13776713609695435
55,167,,,3.092440366744995,,
56,170,,,,419305920.0,0.13776713609695435
56,170,,,3.0924055576324463,,
57,173,,,,419305920.0,0.13776713609695435
57,173,,,3.0923848152160645,,
58,176,,,,419305920.0,0.13776713609695435
58,176,,,3.092371702194214,,
59,179,,,,419305920.0,0.13776713609695435
59,179,,,3.092402458190918,,
60,182,,,,419305920.0,0.13776713609695435
60,182,,,3.0923821926116943,,
61,185,,,,419305920.0,0.13776713609695435
61,185,,,3.092353343963623,,
62,188,,,,419305920.0,0.13776713609695435
62,188,,,3.0923571586608887,,
63,191,,,,419305920.0,0.13776713609695435
63,191,,,3.0923590660095215,,
64,194,,,,419305920.0,0.13776713609695435
64,194,,,3.0923540592193604,,
65,197,,,,419305920.0,0.13776713609695435
65,197,,,3.0923500061035156,,
66,200,,,,419305920.0,0.13776713609695435
66,200,,,3.0923526287078857,,
67,203,,,,419305920.0,0.13776713609695435
67,203,,,3.092351198196411,,
