epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,10151255040.0,0.4739726483821869
0,2,,,414.0581970214844,,
1,5,,,,10151231488.0,0.4388687014579773
1,5,,,394.61700439453125,,
2,8,,,,10151203840.0,0.44040513038635254
2,8,,,379.7868347167969,,
3,11,,,,10151177216.0,0.3707026243209839
3,11,,,367.54046630859375,,
4,14,,,,10151150592.0,0.20229864120483398
4,14,,,357.2247009277344,,
5,17,,,,10151122944.0,0.1947239190340042
5,17,,,348.6077880859375,,
6,20,,,,10151097344.0,0.17295880615711212
6,20,,,341.4407043457031,,
7,23,,,,10151072768.0,0.17295880615711212
7,23,,,335.2585144042969,,
8,26,,,,10151048192.0,0.04685329645872116
8,26,,,329.92327880859375,,
9,29,,,,10151023616.0,0.02089926414191723
9,29,,,325.6081848144531,,
10,32,,,,10151003136.0,0.02089926414191723
10,32,,,321.71044921875,,
11,35,,,,10150981632.0,0.02089926414191723
11,35,,,318.5299377441406,,
12,38,,,,10150963200.0,0.02089926414191723
12,38,,,315.7637634277344,,
13,41,,,,10150945792.0,0.02089926414191723
13,41,,,313.7302551269531,,
14,44,,,,10150936576.0,0.02089926414191723
14,44,,,312.033447265625,,
15,47,,,,10150929408.0,0.02089926414191723
15,47,,,311.1589050292969,,
16,50,,,,10150922240.0,0.02089926414191723
16,50,,,310.5030212402344,,
17,53,,,,10150916096.0,0.02089926414191723
17,53,,,309.7987976074219,,
18,56,,,,10150914048.0,0.02089926414191723
18,56,,,309.2483215332031,,
19,59,,,,10150909952.0,0.02089926414191723
19,59,,,309.01873779296875,,
20,62,,,,10150907904.0,0.02089926414191723
20,62,,,308.7337646484375,,
21,65,,,,10150905856.0,0.02089926414191723
21,65,,,308.5012512207031,,
22,68,,,,10150904832.0,0.02089926414191723
22,68,,,308.284423828125,,
23,71,,,,10150903808.0,0.02089926414191723
23,71,,,308.1802978515625,,
24,74,,,,10150902784.0,0.02089926414191723
24,74,,,308.0442199707031,,
25,77,,,,10150900736.0,0.02089926414191723
25,77,,,307.96563720703125,,
26,80,,,,10150900736.0,0.02089926414191723
26,80,,,307.8430480957031,,
27,83,,,,10150900736.0,0.02089926414191723
27,83,,,307.7921142578125,,
28,86,,,,10150898688.0,0.02089926414191723
28,86,,,307.7383728027344,,
29,89,,,,10150898688.0,0.02089926414191723
29,89,,,307.6875305175781,,
30,92,,,,10150898688.0,0.02089926414191723
30,92,,,307.6428527832031,,
31,95,,,,10150898688.0,0.02089926414191723
31,95,,,307.6186218261719,,
32,98,,,,10150898688.0,0.02089926414191723
32,98,,,307.5974426269531,,
33,101,,,,10150897664.0,0.02089926414191723
33,101,,,307.5672607421875,,
34,104,,,,10150896640.0,0.02089926414191723
34,104,,,307.5421142578125,,
35,107,,,,10150896640.0,0.02089926414191723
35,107,,,307.5317687988281,,
36,110,,,,10150896640.0,0.02089926414191723
