epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,419301312.0,0.6481947898864746
0,2,,,3932253.75,,
1,5,,,,419295616.0,0.4799477458000183
1,5,,,3941245.25,,
2,8,,,,419289728.0,0.48142367601394653
2,8,,,3906482.25,,
3,11,,,,419283808.0,0.48142367601394653
3,11,,,3881819.0,,
4,14,,,,419277952.0,0.48142367601394653
4,14,,,3959845.0,,
5,17,,,,419272160.0,0.48142367601394653
5,17,,,3983751.0,,
6,20,,,,419269184.0,0.48142367601394653
6,20,,,3974849.0,,
7,23,,,,419266144.0,0.48142367601394653
7,23,,,3871990.0,,
8,26,,,,419263328.0,0.48142367601394653
8,26,,,3902073.0,,
9,29,,,,419260320.0,0.48142367601394653
9,29,,,3939772.5,,
10,32,,,,419258912.0,0.48142367601394653
10,32,,,3934903.75,,
11,35,,,,419257440.0,0.48142367601394653
11,35,,,3852810.25,,
12,38,,,,419255968.0,0.48142367601394653
12,38,,,3897947.75,,
13,41,,,,419254464.0,0.48142367601394653
13,41,,,3854923.5,,
14,44,,,,419253792.0,0.48142367601394653
14,44,,,3880182.5,,
15,47,,,,419253088.0,0.48142367601394653
15,47,,,3889715.25,,
16,50,,,,419252320.0,0.48142367601394653
16,50,,,3956778.0,,
17,53,,,,419251616.0,0.48142367601394653
17,53,,,3877331.25,,
18,56,,,,419251232.0,0.48142367601394653
18,56,,,3929065.0,,
19,59,,,,419250848.0,0.48142367601394653
19,59,,,3921842.75,,
20,62,,,,419250528.0,0.48142367601394653
20,62,,,3967949.75,,
21,65,,,,419250144.0,0.48142367601394653
21,65,,,3903729.75,,
22,68,,,,419249984.0,0.48142367601394653
22,68,,,3941884.0,,
23,71,,,,419249760.0,0.48142367601394653
23,71,,,3895561.25,,
24,74,,,,419249568.0,0.48142367601394653
24,74,,,3977970.25,,
25,77,,,,419249440.0,0.48142367601394653
25,77,,,3915580.75,,
26,80,,,,419249280.0,0.48142367601394653
26,80,,,3929679.25,,
27,83,,,,419249216.0,0.48142367601394653
27,83,,,3962344.25,,
28,86,,,,419249152.0,0.48142367601394653
28,86,,,3894584.25,,
29,89,,,,419249024.0,0.48142367601394653
29,89,,,3915347.25,,
30,92,,,,419248992.0,0.48142367601394653
