data,at1,at2,at3,at4,at5
0,-0.041,-0.226,-0.147,0.722,0.801
1,-0.896,-0.562,0.517,-1.308,-1.841
2,-0.974,1.28,-0.419,0.103,0.817
3,-0.033,-1.323,-1.937,1.489,0.386
4,1.636,-0.127,0.318,0.124,-1.721
5,-1.455,-0.955,-0.759,-0.727,0.224
6,-0.099,1.949,1.704,0.141,2.02
7,0.969,-0.557,-0.093,0.203,0.237
8,-0.098,-0.264,0.33,-0.067,0.224
9,-1.793,-1.057,1.964,-0.883,0.974
10,0.425,-0.876,0.344,-0.902,-0.924
11,-0.584,0.475,0.077,-0.43,0.152
12,0.413,1.567,0.297,-1.179,1.524
13,-0.95,0.618,1.983,0.113,0.357
14,2.05,0.305,-1.749,-0.622,-0.993
15,-0.217,0.221,1.7,-1.29,1.586
16,-0.851,-0.484,0.788,0.368,0.362
17,-0.057,-0.148,-0.739,0.13,-1.061
18,1.179,-0.284,1.149,-0.72,0.324
19,-0.153,-1.533,0.404,1.716,0.704
20,-1.548,-0.036,-0.22,-1.043,2.823
21,-0.01,-0.151,-0.701,1.572,-0.406
22,2.075,0.133,-1.094,0.075,-1.53
23,-0.642,-1.682,0.924,-1.231,0.073
24,-0.249,-0.397,-0.053,-0.601,0.652
25,0.356,-1.018,0.562,-0.71,-1.656
26,-0.538,-0.979,1.635,0.683,-0.783
27,0.086,-0.353,0.291,0.523,-1.322
28,-0.64,-0.594,-1.685,1.236,0.312
29,0.617,-0.002,-0.689,3.874,-1.77
30,-0.046,1.801,-0.497,-0.46,0.938
31,-1.143,1.441,0.179,0.694,-1.121
32,-0.079,-0.678,0.831,0.981,-0.673
33,-0.87,1.267,0.245,1.186,0.026
34,0.935,0.402,-0.16,-0.636,-0.935
35,0.632,-0.329,-0.277,0.948,1.115
36,-0.378,-0.253,-1.052,-0.4,0.751
37,-0.911,0.27,-0.145,0.011,0.441
38,1.313,0.443,0.874,-1.558,-0.446
39,0.884,-0.025,0.787,-0.147,-0.257
40,-1.431,-0.229,-0.474,-0.599,-0.643
41,-1.959,0.769,1.723,-0.844,0.022
42,-0.481,1.218,1.75,0.412,-1.51
43,-1.036,0.794,-1.241,-0.851,-0.264
44,-0.749,0.328,0.75,-0.417,0.611
45,0.762,-0.361,-0.759,-0.627,0.631
46,0.001,-0.127,-0.48,-1.065,0.491
47,0.404,-0.039,1.019,-0.61,-1.276
48,0.37,-1.276,0.249,0.481,-0.324
49,0.147,0.18,-0.83,1.274,0.351
50,1.383,0.34,-0.449,0.458,1.183
51,-2.925,1.535,0.147,0.142,-1.179
52,0.159,-0.848,1.175,-0.709,-0.919
53,0.749,-1.126,0.13,1.194,-0.645
54,1.094,0.362,-0.432,-0.148,1.688
55,-1.258,0.892,-0.694,0.648,0.688
56,-1.972,1.725,1.245,0.788,0.655
57,0.475,1.563,-0.862,-0.989,-0.588
58,-0.38,-1.125,-1.269,0.256,-1.252
59,0.672,1.155,-1.785,0.767,2.205
60,-0.263,0.491,-0.508,0.11,0.351
61,0.563,-0.155,0.452,-0.088,1.296
62,0.947,-0.737,0.826,1.299,2.641
63,0.656,0.477,-1.51,-0.296,-1.355
64,-0.128,-0.054,0.294,0.166,-0.185
65,-0.607,0.483,-0.764,-0.828,0.854
66,-1.64,-0.772,-0.252,0.935,1.135
67,1.648,0.812,2.179,0.677,0.27
68,-0.177,-0.41,-0.049,0.761,-0.931
69,1.874,-0.214,-0.327,1.809,-0.483
70,-0.732,1.02,1.45,0.529,1.42
71,0.961,2.151,-1.052,-0.349,0.463
72,-1.344,-0.001,-0.772,0.307,0.727
73,-1.54,-0.27,0.788,-1.108,0.352
74,0.721,-0.491,1.938,-0.278,1.168
75,0.38,0.837,0.521,-1.997,-1.196
