data,at1,at2,at3,at4,at5
0,0.473,1.672,-0.187,-1.473,0.079
1,-0.606,-0.794,0.987,-0.436,0.127
2,0.036,-1.655,0.628,-0.725,0.027
3,-0.051,-0.578,-1.333,-2.176,-0.317
4,-0.804,0.207,0.63,-1.489,-0.599
5,1.656,0.641,0.2,-0.771,3.044
6,-0.173,-0.014,-0.467,0.028,0.071
7,1.342,1.293,0.994,-0.767,1.206
8,-0.524,1.364,-1.052,-0.644,-1.311
9,-0.856,0.235,-0.672,0.722,-0.527
10,1.311,0.947,0.088,-1.556,0.713
11,-0.764,-0.396,-2.45,0.745,0.239
12,0.455,-0.805,-0.828,0.774,-0.913
13,2.677,0.603,0.526,1.52,-0.092
14,-0.784,0.113,0.418,0.423,1.75
15,-2.391,1.573,-0.296,0.677,1.714
16,-1.374,0.633,0.543,0.206,1.696
17,1.594,0.552,2.351,-0.375,-0.842
18,-0.698,0.49,-0.332,-0.551,-0.058
19,0.442,0.321,-0.249,0.246,-1.122
20,-0.053,-0.534,0.433,-0.243,0.926
21,-0.481,-1.34,-1.057,0.284,0.656
22,0.842,0.437,1.582,0.656,0.792
23,0.695,-0.868,0.688,-0.801,1.513
24,1.208,0.114,-0.54,1.639,-1.366
25,2.046,-0.793,-0.218,0.801,2.187
26,0.447,-0.366,0.481,1.255,-1.195
27,-0.338,-0.491,1.037,0.264,1.093
28,-0.615,2.209,1.14,0.596,2.009
29,-0.251,-0.521,-0.344,-1.37,-0.32
30,-1.783,-0.107,-0.278,-0.054,-0.346
31,-0.266,-1.865,-1.407,0.732,0.022
32,0.431,0.322,-0.004,-0.719,-0.704
33,0.53,0.353,-0.665,-0.111,0.74
34,0.094,-0.685,0.263,-1.083,0.377
35,0.866,0.129,-0.021,0.014,-0.429
36,-1.995,0.332,-1.366,1.67,-0.519
37,-0.124,-2.282,2.57,-0.944,-0.981
38,0.76,0.246,1.317,1.687,-0.867
39,-0.611,1.306,2.461,-1.609,0.827
40,-1.945,-0.337,-0.73,0.31,0.755
41,-1.261,1.699,1.386,0.224,0.933
42,0.829,-1.179,-0.153,0.449,-0.295
43,1.661,-0.181,-1.018,0.411,2.06
44,-0.393,0.536,1.301,-0.845,0.769
45,0.168,0.113,-0.736,1.07,-2.328
46,1.172,0.713,-0.604,-0.608,-0.283
47,-1.505,-0.011,-1.407,-1.484,0.123
48,0.201,-1.115,-0.324,1.774,-0.803
49,1.13,1.072,-0.092,0.129,-1.592
50,0.986,-0.714,-1.262,-1.376,1.027
51,-1.075,-0.312,-0.264,-0.499,-1.568
52,0.635,0.53,1.45,-1.007,-0.523
53,-0.624,-1.053,-0.291,0.728,-0.347
54,0.208,-0.45,-0.314,0.181,3.309
55,0.557,-1.14,-1.25,0.355,0.266
56,0.755,-0.479,-1.081,-2.094,-0.794
57,-1.215,-0.538,1.246,-2.121,0.793
58,0.139,1.411,-0.786,0.834,-1.288
59,-0.615,-0.873,1.461,1.729,1.899
60,0.344,0.368,0.713,-0.631,-0.503
61,1.932,0.979,-0.604,-1.689,-0.71
62,0.72,0.23,-1.048,0.117,1.497
63,1.116,0.523,-0.641,-0.238,1.648
64,-0.502,0.92,-0.588,1.719,0.729
65,-1.448,0.92,2.006,-0.583,-0.715
66,0.764,-0.49,0.366,-0.017,0.183
67,-1.142,0.005,-0.974,1.753,-0.82
68,-0.361,1.755,-0.321,0.845,1.222
69,0.065,-0.798,0.531,-0.368,1.012
70,-0.179,-0.851,-0.685,-1.515,-0.712
71,-1.015,1.216,0.328,0.071,-0.732
72,-1.652,-0.654,-0.711,-1.127,-0.471
73,0.117,0.253,-0.214,-0.241,1.532
74,-0.616,0.008,1.424,0.71,0.466
75,0.181,0.636,-1.573,-0.908,-1.858
76,1.906,1.585,0.674,-1.195,-0.24
77,-0.565,1.951,0.597,-0.407,-0.656
78,-1.074,0.694,-0.374,0.673,0.631
79,-1.002,0.244,0.12,-1.57,-1.341
80,1.112,-0.104,2.315,0.56,-0.222
81,-0.837,-0.073,0.432,-0.385,0.297
82,0.361,-0.461,0.667,0.59,-1.544
83,-0.546,0.235,1.571,0.996,-0.478
84,0.899,-0.367,-0.658,-0.769,-1.035
85,0.0,1.782,-0.829,-0.705,0.257
86,-0.22,-0.009,-0.537,1.392,0.472
87,2.464,0.349,0.2,-0.25,0.138
88,-0.962,-0.374,-0.54,0.255,0.163
89,-0.406,0.591,-0.251,-0.029,-0.594
90,-1.346,-0.64,-0.582,-0.238,1.98
91,-0.197,0.022,-1.433,-0.189,-0.302
92,-0.863,-1.053,1.615,-1.382,-0.155
93,-1.39,0.21,1.195,-0.324,-0.333
94,0.199,1.467,0.59,0.416,1.803
95,-2.287,1.625,0.222,0.286,0.298
96,1.122,1.772,-0.764,-0.098,0.298
97,-1.202,0.357,-0.028,-0.948,0.519
98,-0.529,2.017,0.691,0.289,-0.944
99,0.877,-0.996,0.328,-0.746,-0.669
100,-0.939,0.023,0.306,2.719,0.241
101,-1.498,0.053,-0.824,0.637,1.705
102,-0.977,-0.318,-0.328,0.304,-1.181
103,0.505,-0.525,-0.143,0.728,0.965
104,-0.354,-0.105,1.462,0.576,0.074
105,0.908,1.489,-0.954,0.539,-1.246
106,-0.705,0.557,0.202,0.785,-2.662
