epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,726795072.0,0.29405543208122253
0,2,,,0.9212140440940857,,
1,5,,,,726791808.0,0.10189197212457657
1,5,,,0.19682036340236664,,
2,8,,,,726789568.0,0.04102698713541031
2,8,,,0.17907455563545227,,
3,11,,,,726787712.0,0.04102698713541031
3,11,,,0.17298132181167603,,
4,14,,,,726786432.0,0.11610154062509537
4,14,,,0.15881191194057465,,
5,17,,,,726785600.0,0.11610154062509537
5,17,,,0.13706180453300476,,
6,20,,,,726784960.0,0.001968108117580414
6,20,,,0.12115494161844254,,
7,23,,,,726784768.0,0.014012441039085388
7,23,,,0.10380547493696213,,
8,26,,,,726784832.0,0.014012441039085388
8,26,,,0.10072534531354904,,
9,29,,,,726785216.0,0.014012441039085388
9,29,,,0.0925334095954895,,
10,32,,,,726785472.0,0.06875511258840561
10,32,,,0.08156713098287582,,
11,35,,,,726785408.0,0.05780407041311264
11,35,,,0.09134446084499359,,
12,38,,,,726785216.0,0.001968108117580414
12,38,,,0.0760035514831543,,
13,41,,,,726785152.0,0.001968108117580414
13,41,,,0.07692939043045044,,
14,44,,,,726785408.0,0.001968108117580414
14,44,,,0.07282061874866486,,
15,47,,,,726785472.0,0.001968108117580414
15,47,,,0.07158408313989639,,
16,50,,,,726785664.0,0.001968108117580414
16,50,,,0.07364622503519058,,
17,53,,,,726785792.0,0.001968108117580414
17,53,,,0.06641054153442383,,
18,56,,,,726785920.0,0.05544654652476311
18,56,,,0.06389767676591873,,
19,59,,,,726785984.0,0.09306800365447998
19,59,,,0.06440979987382889,,
20,62,,,,726785920.0,0.06749088317155838
20,62,,,0.06515887379646301,,
21,65,,,,726785920.0,0.06749088317155838
21,65,,,0.05825424566864967,,
22,68,,,,726786048.0,0.06749088317155838
22,68,,,0.05742694064974785,,
23,71,,,,726786048.0,0.06749088317155838
23,71,,,0.05705529451370239,,
24,74,,,,726786176.0,0.06749088317155838
24,74,,,0.055113814771175385,,
25,77,,,,726786176.0,0.06749088317155838
25,77,,,0.05416623130440712,,
26,80,,,,726786176.0,0.05544654652476311
26,80,,,0.05381978303194046,,
27,83,,,,726786176.0,0.05544654652476311
27,83,,,0.05286351218819618,,
28,86,,,,726786240.0,0.05544654652476311
28,86,,,0.052260834723711014,,
29,89,,,,726786240.0,0.06749088317155838
29,89,,,0.05220920592546463,,
30,92,,,,726786304.0,0.03222694620490074
30,92,,,0.051701534539461136,,
31,95,,,,726786304.0,0.03222694620490074
31,95,,,0.051494598388671875,,
32,98,,,,726786304.0,0.03222694620490074
32,98,,,0.05140300840139389,,
33,101,,,,726786304.0,0.03222694620490074
33,101,,,0.05106557905673981,,
34,104,,,,726786304.0,0.03222694620490074
34,104,,,0.05089651048183441,,
35,107,,,,726786368.0,0.03222694620490074
35,107,,,0.05078240856528282,,
36,110,,,,726786368.0,0.03222694620490074
36,110,,,0.050673484802246094,,
37,113,,,,726786368.0,0.03222694620490074
37,113,,,0.05057382211089134,,
38,116,,,,726786368.0,0.03222694620490074
38,116,,,0.05048243701457977,,
39,119,,,,726786368.0,0.03222694620490074
39,119,,,0.05042298510670662,,
40,122,,,,726786368.0,0.03222694620490074
40,122,,,0.050384458154439926,,
41,125,,,,726786304.0,0.03222694620490074
41,125,,,0.05034220591187477,,
42,128,,,,726786304.0,0.03222694620490074
42,128,,,0.05026877298951149,,
43,131,,,,726786304.0,0.03222694620490074
43,131,,,0.05024284869432449,,
44,134,,,,726786304.0,0.03222694620490074
44,134,,,0.05022411420941353,,
45,137,,,,726786304.0,0.03222694620490074
45,137,,,0.05021402984857559,,
46,140,,,,726786304.0,0.03222694620490074
46,140,,,0.05018971860408783,,
47,143,,,,726786304.0,0.03222694620490074
47,143,,,0.05015626549720764,,
48,146,,,,726786304.0,0.03222694620490074
48,146,,,0.050148651003837585,,
49,149,,,,726786304.0,0.03222694620490074
49,149,,,0.05013737082481384,,
50,152,,,,726786304.0,0.03222694620490074
50,152,,,0.05012989416718483,,
51,155,,,,726786304.0,0.03222694620490074
51,155,,,0.05011661350727081,,
52,158,,,,726786304.0,0.03222694620490074
52,158,,,0.050111569464206696,,
53,161,,,,726786304.0,0.03222694620490074
53,161,,,0.050103552639484406,,
54,164,,,,726786304.0,0.03222694620490074
54,164,,,0.05009790137410164,,
55,167,,,,726786304.0,0.03222694620490074
55,167,,,0.05009377747774124,,
56,170,,,,726786304.0,0.03222694620490074
56,170,,,0.05009469389915466,,
57,173,,,,726786304.0,0.03222694620490074
57,173,,,0.050088997930288315,,
58,176,,,,726786304.0,0.03222694620490074
58,176,,,0.050086889415979385,,
59,179,,,,726786304.0,0.03222694620490074
59,179,,,0.05008308216929436,,
60,182,,,,726786304.0,0.03222694620490074
60,182,,,0.050080861896276474,,
61,185,,,,726786304.0,0.03222694620490074
61,185,,,0.050079524517059326,,
62,188,,,,726786304.0,0.03222694620490074
62,188,,,0.05007809028029442,,
63,191,,,,726786304.0,0.03222694620490074
63,191,,,0.05007651820778847,,
64,194,,,,726786304.0,0.03222694620490074
64,194,,,0.050076231360435486,,
65,197,,,,726786304.0,0.03222694620490074
65,197,,,0.05007549747824669,,
66,200,,,,726786304.0,0.03222694620490074
66,200,,,0.05007494240999222,,
67,203,,,,726786304.0,0.03222694620490074
67,203,,,0.05007382109761238,,
68,206,,,,726786304.0,0.03222694620490074
68,206,,,0.05007345974445343,,
69,209,,,,726786304.0,0.03222694620490074
69,209,,,0.05007314682006836,,
70,212,,,,726786304.0,0.03222694620490074
70,212,,,0.050072818994522095,,
71,215,,,,726786304.0,0.03222694620490074
71,215,,,0.05007251724600792,,
72,218,,,,726786304.0,0.03222694620490074
72,218,,,0.050072167068719864,,
73,221,,,,726786304.0,0.03222694620490074
73,221,,,0.05007205531001091,,
74,224,,,,726786304.0,0.03222694620490074
74,224,,,0.05007191747426987,,
75,227,,,,726786304.0,0.03222694620490074
75,227,,,0.05007166415452957,,
76,230,,,,726786304.0,0.03222694620490074
76,230,,,0.050071582198143005,,
77,233,,,,726786304.0,0.03222694620490074
77,233,,,0.05007153004407883,,
78,236,,,,726786304.0,0.03222694620490074
78,236,,,0.05007145181298256,,
79,239,,,,726786304.0,0.03222694620490074
79,239,,,0.05007128790020943,,
80,242,,,,726786304.0,0.03222694620490074
80,242,,,0.05007126182317734,,
81,245,,,,726786304.0,0.03222694620490074
81,245,,,0.050071217119693756,,
82,248,,,,726786304.0,0.03222694620490074
82,248,,,0.05007116496562958,,
83,251,,,,726786304.0,0.03222694620490074
83,251,,,0.0500711128115654,,
84,254,,,,726786304.0,0.03222694620490074
84,254,,,0.05007106065750122,,
85,257,,,,726786304.0,0.03222694620490074
85,257,,,0.05007106810808182,,
86,260,,,,726786304.0,0.03222694620490074
86,260,,,0.05007103830575943,,
87,263,,,,726786304.0,0.03222694620490074
