epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,16.180509567260742,0.029080277308821678
0,2,,,3.783522129058838,,
1,5,,,,16.314373016357422,0.007714086212217808
1,5,,,0.8077597618103027,,
2,8,,,,16.40056037902832,0.0
2,8,,,0.44300591945648193,,
3,11,,,,16.339078903198242,0.001357475994154811
3,11,,,0.36348074674606323,,
4,14,,,,16.22402000427246,0.00012067140778526664
4,14,,,0.17003655433654785,,
5,17,,,,16.178783416748047,0.0003449998330324888
5,17,,,0.08481044322252274,,
6,20,,,,16.230634689331055,0.0
6,20,,,0.10916129499673843,,
7,23,,,,16.27616310119629,0.0
7,23,,,0.06825196743011475,,
8,26,,,,16.320192337036133,0.0
8,26,,,0.04670554772019386,,
9,29,,,,16.3510799407959,0.0
9,29,,,0.036389779299497604,,
10,32,,,,16.369417190551758,0.0
10,32,,,0.030510075390338898,,
11,35,,,,16.373584747314453,0.0
11,35,,,0.019992778077721596,,
12,38,,,,16.37598991394043,0.0
12,38,,,0.011992748826742172,,
13,41,,,,16.380096435546875,0.0
13,41,,,0.007299051154404879,,
14,44,,,,16.382232666015625,0.0
14,44,,,0.0035551441833376884,,
15,47,,,,16.384143829345703,0.0
15,47,,,0.0026214695535600185,,
16,50,,,,16.386137008666992,0.0
16,50,,,0.0028278427198529243,,
17,53,,,,16.3891544342041,0.0
17,53,,,0.0025343080051243305,,
18,56,,,,16.392419815063477,0.0
18,56,,,0.0020296124275773764,,
19,59,,,,16.393884658813477,0.0
19,59,,,0.0015367141459137201,,
20,62,,,,16.395185470581055,0.0
20,62,,,0.0013275147648528218,,
21,65,,,,16.396224975585938,0.0
21,65,,,0.0011785713722929358,,
22,68,,,,16.39673614501953,0.0
22,68,,,0.0010068189585581422,,
23,71,,,,16.396583557128906,0.0
23,71,,,0.0009238137281499803,,
24,74,,,,16.3963565826416,0.0
24,74,,,0.0008392641902901232,,
25,77,,,,16.396137237548828,0.0
25,77,,,0.0007148850127123296,,
26,80,,,,16.396100997924805,0.0
26,80,,,0.0006336611113511026,,
27,83,,,,16.39599609375,0.0
27,83,,,0.0005477582453750074,,
28,86,,,,16.39590072631836,0.0
28,86,,,0.0004930075956508517,,
29,89,,,,16.39579963684082,0.0
29,89,,,0.00045740604400634766,,
30,92,,,,16.395702362060547,0.0
30,92,,,0.00038396185846067965,,
31,95,,,,16.395647048950195,0.0
31,95,,,0.00034047034569084644,,
32,98,,,,16.395612716674805,0.0
32,98,,,0.00031973718432709575,,
33,101,,,,16.395570755004883,0.0
33,101,,,0.00028735713567584753,,
34,104,,,,16.395505905151367,0.0
34,104,,,0.0002621284802444279,,
35,107,,,,16.395483016967773,0.0
35,107,,,0.00023659534053876996,,
36,110,,,,16.395463943481445,0.0
36,110,,,0.00022852221445646137,,
37,113,,,,16.39545440673828,0.0
37,113,,,0.00021503964671865106,,
38,116,,,,16.39543342590332,0.0
38,116,,,0.00020760380721185356,,
39,119,,,,16.395408630371094,0.0
39,119,,,0.00020569926709868014,,
40,122,,,,16.395383834838867,0.0
40,122,,,0.00020281456818338484,,
41,125,,,,16.39535140991211,0.0
41,125,,,0.0002010386815527454,,
42,128,,,,16.395322799682617,0.0
42,128,,,0.00019714070367626846,,
43,131,,,,16.39530372619629,0.0
43,131,,,0.0001955502521013841,,
44,134,,,,16.395288467407227,0.0
44,134,,,0.00019377883290871978,,
45,137,,,,16.39527130126953,0.0
45,137,,,0.0001922186929732561,,
46,140,,,,16.39525604248047,0.0
46,140,,,0.00019106201943941414,,
47,143,,,,16.395246505737305,0.0
47,143,,,0.00018920633010566235,,
48,146,,,,16.39524269104004,0.0
48,146,,,0.0001878326147561893,,
49,149,,,,16.395235061645508,0.0
49,149,,,0.00018719202489592135,,
50,152,,,,16.39522933959961,0.0
50,152,,,0.00018602079944685102,,
51,155,,,,16.395225524902344,0.0
51,155,,,0.00018545190687291324,,
52,158,,,,16.395219802856445,0.0
52,158,,,0.00018518252181820571,,
53,161,,,,16.39521598815918,0.0
53,161,,,0.0001846975792432204,,
54,164,,,,16.395212173461914,0.0
54,164,,,0.00018411874771118164,,
55,167,,,,16.39521026611328,0.0
55,167,,,0.0001836236915551126,,
56,170,,,,16.39520835876465,0.0
56,170,,,0.00018331756291445345,,
57,173,,,,16.395204544067383,0.0
57,173,,,0.0001831637491704896,,
58,176,,,,16.395204544067383,0.0
58,176,,,0.00018284039106220007,,
59,179,,,,16.39520263671875,0.0
59,179,,,0.00018260446086060256,,
60,182,,,,16.395200729370117,0.0
60,182,,,0.00018254898895975202,,
61,185,,,,16.395200729370117,0.0
61,185,,,0.00018242315854877234,,
62,188,,,,16.395200729370117,0.0
62,188,,,0.00018230511341243982,,
63,191,,,,16.395198822021484,0.0
63,191,,,0.00018217596516478807,,
64,194,,,,16.39519691467285,0.0
64,194,,,0.00018216420721728355,,
65,197,,,,16.39519691467285,0.0
65,197,,,0.00018201272177975625,,
66,200,,,,16.39519691467285,0.0
66,200,,,0.00018198291945736855,,
67,203,,,,16.39519691467285,0.0
67,203,,,0.00018188754620496184,,
68,206,,,,16.39519691467285,0.0
68,206,,,0.00018187794194091111,,
69,209,,,,16.39519691467285,0.0
69,209,,,0.00018188390822615474,,
70,212,,,,16.39519691467285,0.0
70,212,,,0.00018172959971707314,,
71,215,,,,16.39519691467285,0.0
71,215,,,0.00018176966113969684,,
72,218,,,,16.39519691467285,0.0
72,218,,,0.00018174995784647763,,
73,221,,,,16.39519691467285,0.0
73,221,,,0.0001817832380766049,,
74,224,,,,16.39519691467285,0.0
74,224,,,0.00018177098536398262,,
75,227,,,,16.39519691467285,0.0
75,227,,,0.000181745330337435,,
76,230,,,,16.39519500732422,0.0
76,230,,,0.0001817512820707634,,
77,233,,,,16.39519691467285,0.0
77,233,,,0.0001816696603782475,,
78,236,,,,16.39519500732422,0.0
78,236,,,0.00018167594680562615,,
79,239,,,,16.39519500732422,0.0
79,239,,,0.00018156236910726875,,
80,242,,,,16.39519500732422,0.0
80,242,,,0.00018163588538300246,,
81,245,,,,16.39519500732422,0.0
81,245,,,0.0001816209842218086,,
82,248,,,,16.39519500732422,0.0
82,248,,,0.00018166220979765058,,
83,251,,,,16.39519500732422,0.0
83,251,,,0.00018165857181884348,,
84,254,,,,16.395193099975586,0.0
84,254,,,0.0001816681760828942,,
85,257,,,,16.39519500732422,0.0
85,257,,,0.00018162628111895174,,
86,260,,,,16.395193099975586,0.0
86,260,,,0.0001816958247218281,,
87,263,,,,16.395193099975586,0.0
87,263,,,0.00018167347298003733,,
88,266,,,,16.395193099975586,0.0
88,266,,,0.0001816762814996764,,
89,269,,,,16.395193099975586,0.0
89,269,,,0.0001816777657950297,,
90,272,,,,16.395193099975586,0.0
90,272,,,0.0001816711446736008,,
91,275,,,,16.395193099975586,0.0
91,275,,,0.000181668990990147,,
92,278,,,,16.395193099975586,0.0
92,278,,,0.00018166138033848256,,
93,281,,,,16.395193099975586,0.0
93,281,,,0.00018167661619372666,,
94,284,,,,16.395193099975586,0.0
