epoch,step,train_loss,val_mse,val_regret
0,2,,18.859302520751953,0.036209363490343094
0,2,3.2831270694732666,,
1,5,,19.11888885498047,0.010497787967324257
1,5,0.7326085567474365,,
2,8,,19.170419692993164,0.0006472227396443486
2,8,0.5243653059005737,,
3,11,,19.219045639038086,0.003044198965653777
3,11,0.34490734338760376,,
4,14,,19.356687545776367,0.00255831447429955
4,14,0.2347470223903656,,
5,17,,19.45475959777832,0.0002577533887233585
5,17,0.1907334178686142,,
6,20,,19.516357421875,0.0002577533887233585
6,20,0.08020376414060593,,
7,23,,19.573331832885742,0.000743637967389077
7,23,0.054263826459646225,,
8,26,,19.6192569732666,0.00048588457866571844
8,26,0.07787925750017166,,
9,29,,19.671222686767578,0.0
9,29,0.058219898492097855,,
10,32,,19.717243194580078,0.0002577533887233585
10,32,0.033660463988780975,,
11,35,,19.73290252685547,0.0002577533887233585
11,35,0.026213521137833595,,
12,38,,19.745288848876953,0.0002577533887233585
12,38,0.010668684728443623,,
13,41,,19.76428985595703,0.0002577533887233585
13,41,0.025751013308763504,,
14,44,,19.77867889404297,0.0
14,44,0.00976775772869587,,
15,47,,19.791807174682617,0.0
15,47,0.0072175282984972,,
16,50,,19.802461624145508,0.0
16,50,0.0067099304869771,,
17,53,,19.808931350708008,0.0002577533887233585
17,53,0.006324023474007845,,
18,56,,19.81016731262207,0.0
18,56,0.00519429799169302,,
19,59,,19.80858612060547,0.0
19,59,0.0036578672006726265,,
20,62,,19.80518341064453,0.0
20,62,0.002520064590498805,,
21,65,,19.801597595214844,0.0
21,65,0.0016927036922425032,,
22,68,,19.80048370361328,0.0
22,68,0.0005796574987471104,,
23,71,,19.80034828186035,0.0
23,71,0.00048779911594465375,,
24,74,,19.801435470581055,0.0
24,74,8.913808414945379e-05,,
25,77,,19.8024845123291,0.0002577533887233585
25,77,-7.384353040151836e-08,,
26,80,,19.802549362182617,0.0002577533887233585
26,80,0.0001395305007463321,,
27,83,,19.802156448364258,0.0
27,83,0.000101100406027399,,
28,86,,19.80178451538086,0.0
28,86,1.099374571822409e-06,,
29,89,,19.801494598388672,0.0
29,89,-4.205438841609066e-08,,
30,92,,19.8013916015625,0.0
30,92,-5.596213981107212e-08,,
31,95,,19.80130958557129,0.0
31,95,4.437234579768301e-08,,
32,98,,19.801252365112305,0.0
32,98,-2.351072048156766e-08,,
33,101,,19.801210403442383,0.0
33,101,-4.3378935998816814e-08,,
34,104,,19.80119514465332,0.0
34,104,-2.6490953430879927e-08,,
35,107,,19.801183700561523,0.0
35,107,2.4172994272930737e-08,,
36,110,,19.801172256469727,0.0
36,110,3.907415546677839e-08,,
37,113,,19.80116844177246,0.0
37,113,-2.8808910812472277e-08,,
38,116,,19.801166534423828,0.0
38,116,1.5894572769070692e-08,,
39,119,,19.801164627075195,0.0
39,119,-3.543165050245989e-08,,
40,122,,19.801164627075195,0.0
40,122,-7.947286384535346e-09,,
41,125,,19.801158905029297,0.0
41,125,-5.2650769077899895e-08,,
42,128,,19.80116081237793,0.0
42,128,-5.960464477539063e-08,,
43,131,,19.80116081237793,0.0
43,131,-3.8743017682918435e-08,,
44,134,,19.80116081237793,0.0
44,134,-9.073151829852577e-08,,
45,137,,19.801158905029297,0.0
45,137,1.125865480844368e-07,,
46,140,,19.801158905029297,0.0
46,140,-3.079573218656151e-08,,
47,143,,19.801158905029297,0.0
47,143,2.4504132056790695e-08,,
48,146,,19.801158905029297,0.0
48,146,-5.4637592228345966e-08,,
49,149,,19.801158905029297,0.0
49,149,-5.364417887676609e-08,,
50,152,,19.801158905029297,0.0
50,152,-6.95387525340152e-09,,
51,155,,19.801158905029297,0.0
51,155,-3.311369312086754e-08,,
