epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,984617984.0,0.1326446235179901
0,2,,,6.855796813964844,,
1,5,,,,984613696.0,0.022255603224039078
1,5,,,4.522903919219971,,
2,8,,,,984609152.0,0.01912703737616539
2,8,,,3.707811117172241,,
3,11,,,,984605504.0,0.01912703737616539
3,11,,,3.363053321838379,,
4,14,,,,984602624.0,0.01912703737616539
4,14,,,3.2406325340270996,,
5,17,,,,984600768.0,0.01912703737616539
5,17,,,3.2009847164154053,,
6,20,,,,984599680.0,0.01912703737616539
6,20,,,3.184448480606079,,
7,23,,,,984599360.0,0.01912703737616539
7,23,,,3.172882080078125,,
8,26,,,,984599168.0,0.01912703737616539
8,26,,,3.1713740825653076,,
9,29,,,,984598720.0,0.01912703737616539
9,29,,,3.1610286235809326,,
10,32,,,,984598528.0,0.01912703737616539
10,32,,,3.161520481109619,,
11,35,,,,984598528.0,0.01912703737616539
11,35,,,3.1616387367248535,,
12,38,,,,984598400.0,0.01912703737616539
12,38,,,3.1645517349243164,,
13,41,,,,984598400.0,0.01912703737616539
13,41,,,3.155316114425659,,
14,44,,,,984598528.0,0.01912703737616539
14,44,,,3.1534337997436523,,
15,47,,,,984598528.0,0.01912703737616539
15,47,,,3.150648355484009,,
16,50,,,,984598528.0,0.01912703737616539
16,50,,,3.1508498191833496,,
17,53,,,,984598528.0,0.01912703737616539
17,53,,,3.1503400802612305,,
18,56,,,,984598528.0,0.01912703737616539
18,56,,,3.1502788066864014,,
19,59,,,,984598528.0,0.01912703737616539
19,59,,,3.1487154960632324,,
20,62,,,,984598656.0,0.01912703737616539
20,62,,,3.1495299339294434,,
21,65,,,,984598656.0,0.01912703737616539
21,65,,,3.1489641666412354,,
22,68,,,,984598656.0,0.01912703737616539
22,68,,,3.148766040802002,,
23,71,,,,984598720.0,0.01912703737616539
23,71,,,3.1472408771514893,,
24,74,,,,984598720.0,0.01912703737616539
24,74,,,3.14654541015625,,
25,77,,,,984598720.0,0.01912703737616539
25,77,,,3.1468262672424316,,
26,80,,,,984598720.0,0.01912703737616539
26,80,,,3.146782159805298,,
27,83,,,,984598720.0,0.01912703737616539
27,83,,,3.146246910095215,,
28,86,,,,984598720.0,0.01912703737616539
28,86,,,3.146070718765259,,
29,89,,,,984598720.0,0.01912703737616539
29,89,,,3.146190643310547,,
30,92,,,,984598720.0,0.01912703737616539
30,92,,,3.1460609436035156,,
31,95,,,,984598720.0,0.01912703737616539
31,95,,,3.14581561088562,,
32,98,,,,984598720.0,0.01912703737616539
32,98,,,3.1457040309906006,,
33,101,,,,984598720.0,0.01912703737616539
33,101,,,3.1457648277282715,,
34,104,,,,984598720.0,0.01912703737616539
34,104,,,3.1457557678222656,,
35,107,,,,984598720.0,0.01912703737616539
35,107,,,3.1456384658813477,,
36,110,,,,984598720.0,0.01912703737616539
36,110,,,3.145630121231079,,
37,113,,,,984598720.0,0.01912703737616539
37,113,,,3.145521402359009,,
38,116,,,,984598720.0,0.01912703737616539
38,116,,,3.1455843448638916,,
39,119,,,,984598720.0,0.01912703737616539
39,119,,,3.1454691886901855,,
40,122,,,,984598720.0,0.01912703737616539
