epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,2323389952.0,0.5103180408477783
0,2,,,304.0056457519531,,
1,5,,,,2323371008.0,0.5103180408477783
1,5,,,303.1012268066406,,
2,8,,,,2323351808.0,0.24833181500434875
2,8,,,302.2947082519531,,
3,11,,,,2323332352.0,0.23384840786457062
3,11,,,301.4649658203125,,
4,14,,,,2323313408.0,0.28149789571762085
4,14,,,300.67156982421875,,
5,17,,,,2323295488.0,0.28149789571762085
5,17,,,299.8972473144531,,
6,20,,,,2323276800.0,0.28149789571762085
6,20,,,299.1661071777344,,
7,23,,,,2323259136.0,0.28149789571762085
7,23,,,298.4063415527344,,
8,26,,,,2323250432.0,0.28149789571762085
8,26,,,297.79669189453125,,
9,29,,,,2323241472.0,0.22018003463745117
9,29,,,297.44683837890625,,
10,32,,,,2323232512.0,0.22018003463745117
10,32,,,297.10174560546875,,
11,35,,,,2323223552.0,0.22018003463745117
11,35,,,296.7630310058594,,
12,38,,,,2323215104.0,0.22018003463745117
12,38,,,296.43426513671875,,
13,41,,,,2323206400.0,0.22018003463745117
13,41,,,296.09039306640625,,
14,44,,,,2323202304.0,0.22018003463745117
14,44,,,295.81939697265625,,
15,47,,,,2323198464.0,0.22018003463745117
15,47,,,295.6589050292969,,
16,50,,,,2323193856.0,0.22018003463745117
16,50,,,295.4976501464844,,
17,53,,,,2323189760.0,0.22018003463745117
17,53,,,295.33282470703125,,
18,56,,,,2323187968.0,0.22018003463745117
18,56,,,295.2029113769531,,
19,59,,,,2323185664.0,0.22018003463745117
19,59,,,295.1258239746094,,
20,62,,,,2323183872.0,0.22018003463745117
20,62,,,295.0428466796875,,
21,65,,,,2323181312.0,0.22018003463745117
21,65,,,294.9647521972656,,
22,68,,,,2323180544.0,0.22018003463745117
22,68,,,294.8992919921875,,
23,71,,,,2323179264.0,0.22018003463745117
23,71,,,294.8603820800781,,
24,74,,,,2323178240.0,0.22018003463745117
24,74,,,294.8207092285156,,
25,77,,,,2323177216.0,0.22018003463745117
25,77,,,294.7811279296875,,
26,80,,,,2323176960.0,0.22018003463745117
26,80,,,294.748291015625,,
27,83,,,,2323176448.0,0.22018003463745117
27,83,,,294.7285461425781,,
28,86,,,,2323175680.0,0.22018003463745117
28,86,,,294.70904541015625,,
29,89,,,,2323174912.0,0.22018003463745117
29,89,,,294.6896667480469,,
30,92,,,,2323174656.0,0.22018003463745117
30,92,,,294.672607421875,,
31,95,,,,2323174656.0,0.22018003463745117
31,95,,,294.6631774902344,,
32,98,,,,2323174144.0,0.22018003463745117
32,98,,,294.6529846191406,,
33,101,,,,2323174144.0,0.22018003463745117
33,101,,,294.6434326171875,,
34,104,,,,2323173888.0,0.22018003463745117
34,104,,,294.6351013183594,,
35,107,,,,2323173888.0,0.22018003463745117
35,107,,,294.6302185058594,,
36,110,,,,2323173632.0,0.22018003463745117
36,110,,,294.6252746582031,,
37,113,,,,2323173632.0,0.22018003463745117
37,113,,,294.62042236328125,,
38,116,,,,2323173632.0,0.22018003463745117
38,116,,,294.6162414550781,,
39,119,,,,2323173632.0,0.22018003463745117
39,119,,,294.61376953125,,
40,122,,,,2323173376.0,0.22018003463745117
40,122,,,294.6112976074219,,
41,125,,,,2323173376.0,0.22018003463745117
41,125,,,294.6088562011719,,
42,128,,,,2323173376.0,0.22018003463745117
42,128,,,294.6067810058594,,
43,131,,,,2323173376.0,0.22018003463745117
43,131,,,294.6055908203125,,
44,134,,,,2323173376.0,0.22018003463745117
44,134,,,294.6043395996094,,
45,137,,,,2323173376.0,0.22018003463745117
45,137,,,294.60308837890625,,
46,140,,,,2323173376.0,0.22018003463745117
46,140,,,294.6020812988281,,
47,143,,,,2323173376.0,0.22018003463745117
47,143,,,294.6014404296875,,
48,146,,,,2323173376.0,0.22018003463745117
48,146,,,294.600830078125,,
49,149,,,,2323173376.0,0.22018003463745117
49,149,,,294.6001892089844,,
50,152,,,,2323173376.0,0.22018003463745117
50,152,,,294.5996398925781,,
51,155,,,,2323173376.0,0.22018003463745117
51,155,,,294.599365234375,,
52,158,,,,2323173376.0,0.22018003463745117
52,158,,,294.59906005859375,,
53,161,,,,2323173376.0,0.22018003463745117
53,161,,,294.5987548828125,,
54,164,,,,2323173376.0,0.22018003463745117
54,164,,,294.5984802246094,,
55,167,,,,2323173376.0,0.22018003463745117
55,167,,,294.5983581542969,,
56,170,,,,2323173376.0,0.22018003463745117
56,170,,,294.5981750488281,,
57,173,,,,2323173376.0,0.22018003463745117
57,173,,,294.5979919433594,,
58,176,,,,2323173376.0,0.22018003463745117
58,176,,,294.5978698730469,,
59,179,,,,2323173376.0,0.22018003463745117
59,179,,,294.5978088378906,,
60,182,,,,2323173376.0,0.22018003463745117
60,182,,,294.5976867675781,,
61,185,,,,2323173376.0,0.22018003463745117
61,185,,,294.59765625,,
62,188,,,,2323173376.0,0.22018003463745117
62,188,,,294.59759521484375,,
63,191,,,,2323173376.0,0.22018003463745117
63,191,,,294.5975341796875,,
64,194,,,,2323173376.0,0.22018003463745117
64,194,,,294.5975036621094,,
65,197,,,,2323173376.0,0.22018003463745117
65,197,,,294.5974426269531,,
66,200,,,,2323173376.0,0.22018003463745117
66,200,,,294.59747314453125,,
67,203,,,,2323173376.0,0.22018003463745117
67,203,,,294.5973815917969,,
68,206,,,,2323173376.0,0.22018003463745117
68,206,,,294.5973815917969,,
69,209,,,,2323173376.0,0.22018003463745117
69,209,,,294.5973815917969,,
70,212,,,,2323173376.0,0.22018003463745117
70,212,,,294.59735107421875,,
71,215,,,,2323173376.0,0.22018003463745117
71,215,,,294.5973205566406,,
72,218,,,,2323173376.0,0.22018003463745117
72,218,,,294.59735107421875,,
73,221,,,,2323173376.0,0.22018003463745117
73,221,,,294.5973205566406,,
74,224,,,,2323173376.0,0.22018003463745117
74,224,,,294.5973205566406,,
75,227,,,,2323173376.0,0.22018003463745117
75,227,,,294.5973205566406,,
76,230,,,,2323173376.0,0.22018003463745117
76,230,,,294.5973205566406,,
77,233,,,,2323173376.0,0.22018003463745117
77,233,,,294.5973205566406,,
78,236,,,,2323173376.0,0.22018003463745117
78,236,,,294.5972900390625,,
79,239,,,,2323173376.0,0.22018003463745117
79,239,,,294.5973205566406,,
80,242,,,,2323173376.0,0.22018003463745117
80,242,,,294.5973205566406,,
81,245,,,,2323173376.0,0.22018003463745117
81,245,,,294.5972900390625,,
82,248,,,,2323173376.0,0.22018003463745117
82,248,,,294.5972595214844,,
83,251,,,,2323173376.0,0.22018003463745117
83,251,,,294.5973205566406,,
84,254,,,,2323173376.0,0.22018003463745117
84,254,,,294.5972900390625,,
85,257,,,,2323173376.0,0.22018003463745117
85,257,,,294.5972900390625,,
86,260,,,,2323173376.0,0.22018003463745117
86,260,,,294.5973205566406,,
87,263,,,,2323173376.0,0.22018003463745117
87,263,,,294.5972900390625,,
88,266,,,,2323173376.0,0.22018003463745117
88,266,,,294.5972900390625,,
89,269,,,,2323173376.0,0.22018003463745117
89,269,,,294.5973205566406,,
90,272,,,,2323173376.0,0.22018003463745117
90,272,,,294.5973205566406,,
91,275,,,,2323173376.0,0.22018003463745117
91,275,,,294.5972595214844,,
92,278,,,,2323173376.0,0.22018003463745117
92,278,,,294.5973205566406,,
93,281,,,,2323173376.0,0.22018003463745117
93,281,,,294.5972900390625,,
94,284,,,,2323173376.0,0.22018003463745117
94,284,,,294.5973205566406,,
95,287,,,,2323173376.0,0.22018003463745117
95,287,,,294.5973205566406,,
96,290,,,,2323173376.0,0.22018003463745117
96,290,,,294.5973205566406,,
97,293,,,,2323173376.0,0.22018003463745117
97,293,,,294.5973205566406,,
98,296,,,,2323173376.0,0.22018003463745117
98,296,,,294.5972595214844,,
99,299,,,,2323173376.0,0.22018003463745117
99,299,,,294.5972595214844,,
100,302,,,,2323173376.0,0.22018003463745117
100,302,,,294.5972900390625,,
101,305,,,,2323173376.0,0.22018003463745117
101,305,,,294.5972900390625,,
102,308,,,,2323173376.0,0.22018003463745117
102,308,,,294.5972900390625,,
103,311,,,,2323173376.0,0.22018003463745117
103,311,,,294.5972900390625,,
104,314,,,,2323173376.0,0.22018003463745117
104,314,,,294.5972900390625,,
105,317,,,,2323173376.0,0.22018003463745117
105,317,,,294.5972900390625,,
106,320,,,,2323173376.0,0.22018003463745117
106,320,,,294.5972900390625,,
107,323,,,,2323173376.0,0.22018003463745117
107,323,,,294.5972900390625,,
108,326,,,,2323173376.0,0.22018003463745117
108,326,,,294.5972900390625,,
109,329,,,,2323173376.0,0.22018003463745117
109,329,,,294.5972595214844,,
110,330,203701616640.0,0.2781248390674591,,,
