epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,18591354880.0,0.27482420206069946
0,2,,,4537133.5,,
1,5,,,,18591313920.0,0.9963785409927368
1,5,,,4652650.0,,
2,8,,,,18591279104.0,0.9963785409927368
2,8,,,4690297.0,,
3,11,,,,18591242240.0,0.9963785409927368
3,11,,,4441512.0,,
4,14,,,,18591205376.0,0.9963785409927368
4,14,,,4743710.0,,
5,17,,,,18591188992.0,0.9963785409927368
5,17,,,4674307.0,,
6,20,,,,18591168512.0,0.9963785409927368
6,20,,,4685394.5,,
7,23,,,,18591152128.0,0.9963785409927368
7,23,,,4534104.5,,
8,26,,,,18591133696.0,0.9963785409927368
8,26,,,4638440.0,,
9,29,,,,18591125504.0,0.9963785409927368
9,29,,,4756074.0,,
10,32,,,,18591117312.0,0.9963785409927368
10,32,,,4554765.5,,
11,35,,,,18591111168.0,0.9963785409927368
11,35,,,4779355.0,,
12,38,,,,18591098880.0,0.9963785409927368
12,38,,,4818941.5,,
13,41,,,,18591094784.0,0.9963785409927368
13,41,,,4744133.0,,
14,44,,,,18591088640.0,0.9963785409927368
14,44,,,4655016.5,,
15,47,,,,18591086592.0,0.9963785409927368
15,47,,,4586680.0,,
16,50,,,,18591082496.0,0.9963785409927368
16,50,,,4627311.5,,
17,53,,,,18591082496.0,0.9963785409927368
17,53,,,4607640.5,,
18,56,,,,18591078400.0,0.9963785409927368
18,56,,,4823118.0,,
19,59,,,,18591078400.0,0.9963785409927368
19,59,,,4635622.5,,
20,62,,,,18591074304.0,0.9963785409927368
20,62,,,4694545.0,,
21,65,,,,18591074304.0,0.9963785409927368
21,65,,,4757293.5,,
22,68,,,,18591074304.0,0.9963785409927368
22,68,,,4720184.0,,
23,71,,,,18591068160.0,0.9963785409927368
23,71,,,4737560.5,,
24,74,,,,18591068160.0,0.9963785409927368
24,74,,,4624317.0,,
25,77,,,,18591068160.0,0.9963785409927368
25,77,,,4825764.5,,
26,80,,,,18591068160.0,0.9963785409927368
26,80,,,4620718.5,,
27,83,,,,18591068160.0,0.9963785409927368
27,83,,,4618953.0,,
28,86,,,,18591066112.0,0.9963785409927368
28,86,,,4670904.0,,
29,89,,,,18591068160.0,0.9963785409927368
29,89,,,4774843.0,,
30,92,,,,18591068160.0,0.9963785409927368
30,92,,,4729123.0,,
31,95,,,,18591064064.0,0.9963785409927368
31,95,,,4762839.0,,
32,98,,,,18591064064.0,0.9963785409927368
32,98,,,4590708.0,,
33,101,,,,18591064064.0,0.9963785409927368
33,101,,,4580116.0,,
34,104,,,,18591064064.0,0.9963785409927368
34,104,,,4650848.5,,
35,107,,,,18591064064.0,0.9963785409927368
35,107,,,4608834.5,,
36,110,,,,18591064064.0,0.9963785409927368
36,110,,,4601400.0,,
37,113,,,,18591064064.0,0.9963785409927368
37,113,,,4843939.0,,
38,116,,,,18591064064.0,0.9963785409927368
38,116,,,4697628.0,,
39,119,,,,18591064064.0,0.9963785409927368
39,119,,,4786305.5,,
40,122,,,,18591064064.0,0.9963785409927368
40,122,,,4768720.5,,
41,125,,,,18591064064.0,0.9963785409927368
41,125,,,4685852.5,,
42,128,,,,18591064064.0,0.9963785409927368
42,128,,,4758955.5,,
43,131,,,,18591064064.0,0.9963785409927368
43,131,,,4567402.0,,
44,134,,,,18591064064.0,0.9963785409927368
44,134,,,4470469.0,,
45,137,,,,18591064064.0,0.9963785409927368
45,137,,,4534968.0,,
46,140,,,,18591064064.0,0.9963785409927368
46,140,,,4809046.0,,
47,143,,,,18591064064.0,0.9963785409927368
47,143,,,4544171.5,,
48,146,,,,18591064064.0,0.9963785409927368
48,146,,,4779805.0,,
49,149,,,,18591064064.0,0.9963785409927368
49,149,,,4755038.0,,
50,152,,,,18591064064.0,0.9963785409927368
50,152,,,4711162.0,,
51,155,,,,18591064064.0,0.9963785409927368
51,155,,,4485253.5,,
52,158,,,,18591064064.0,0.9963785409927368
52,158,,,4665839.5,,
53,161,,,,18591064064.0,0.9963785409927368
53,161,,,4788670.5,,
54,164,,,,18591064064.0,0.9963785409927368
54,164,,,4723469.0,,
55,167,,,,18591064064.0,0.9963785409927368
55,167,,,4542071.0,,
56,170,,,,18591064064.0,0.9963785409927368
56,170,,,4814548.5,,
57,173,,,,18591064064.0,0.9963785409927368
57,173,,,4643085.5,,
58,176,,,,18591064064.0,0.9963785409927368
58,176,,,4586779.5,,
59,179,,,,18591064064.0,0.9963785409927368
59,179,,,4590321.0,,
60,182,,,,18591064064.0,0.9963785409927368
60,182,,,4583252.5,,
61,185,,,,18591064064.0,0.9963785409927368
61,185,,,4718543.0,,
62,188,,,,18591064064.0,0.9963785409927368
62,188,,,4742802.0,,
63,191,,,,18591064064.0,0.9963785409927368
63,191,,,4626606.0,,
64,194,,,,18591064064.0,0.9963785409927368
64,194,,,4803971.0,,
65,197,,,,18591064064.0,0.9963785409927368
65,197,,,4516746.5,,
66,200,,,,18591064064.0,0.9963785409927368
66,200,,,4614675.0,,
67,203,,,,18591064064.0,0.9963785409927368
67,203,,,4624508.5,,
68,206,,,,18591064064.0,0.9963785409927368
68,206,,,4778970.5,,
69,209,,,,18591064064.0,0.9963785409927368
69,209,,,4718175.5,,
70,212,,,,18591064064.0,0.9963785409927368
70,212,,,4572118.0,,
71,215,,,,18591064064.0,0.9963785409927368
71,215,,,4847493.5,,
72,218,,,,18591064064.0,0.9963785409927368
72,218,,,4513555.0,,
73,221,,,,18591064064.0,0.9963785409927368
73,221,,,4667871.5,,
74,224,,,,18591064064.0,0.9963785409927368
74,224,,,4670056.0,,
75,227,,,,18591064064.0,0.9963785409927368
75,227,,,4508074.5,,
76,230,,,,18591064064.0,0.9963785409927368
76,230,,,4660035.5,,
77,233,,,,18591064064.0,0.9963785409927368
77,233,,,4771053.5,,
78,236,,,,18591064064.0,0.9963785409927368
78,236,,,4648766.5,,
79,239,,,,18591064064.0,0.9963785409927368
79,239,,,4820628.5,,
80,242,,,,18591064064.0,0.9963785409927368
