epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,0,,,,16.197139739990234,0.1112309917807579
0,2,,,,16.285295486450195,0.012608910910785198
0,2,,,3.5167205333709717,,
1,5,,,,16.313302993774414,0.0024957747664302588
1,5,,,0.8638478517532349,,
2,8,,,,16.258447647094727,0.00012067140778526664
2,8,,,0.37004417181015015,,
3,11,,,,16.231637954711914,0.001357475994154811
3,11,,,0.3257719874382019,,
4,14,,,,16.181886672973633,0.00012067140778526664
4,14,,,0.25554677844047546,,
5,17,,,,16.200239181518555,0.00012067140778526664
5,17,,,0.10734331607818604,,
6,20,,,,16.269855499267578,0.0002243284397991374
6,20,,,0.06635276228189468,,
7,23,,,,16.29817008972168,0.0
7,23,,,0.06367050111293793,,
8,26,,,,16.311229705810547,0.0
8,26,,,0.058818619698286057,,
9,29,,,,16.30837059020996,0.0
9,29,,,0.0438045859336853,,
10,32,,,,16.299076080322266,0.0
10,32,,,0.02979951724410057,,
11,35,,,,16.29835319519043,0.0
11,35,,,0.01975443586707115,,
12,38,,,,16.30313491821289,0.0
12,38,,,0.014543591998517513,,
13,41,,,,16.30778694152832,0.0
13,41,,,0.00918879546225071,,
14,44,,,,16.313007354736328,0.0
14,44,,,0.005323945544660091,,
15,47,,,,16.314895629882812,0.0
15,47,,,0.0030456939712166786,,
16,50,,,,16.31589126586914,0.0
16,50,,,0.002737515140324831,,
17,53,,,,16.317222595214844,0.0
17,53,,,0.0026601464487612247,,
18,56,,,,16.319263458251953,0.0
18,56,,,0.0023395465686917305,,
19,59,,,,16.321449279785156,0.0
19,59,,,0.0017284284112975001,,
20,62,,,,16.32240867614746,0.0
20,62,,,0.0013114226749166846,,
21,65,,,,16.323497772216797,0.0
21,65,,,0.0009798493701964617,,
22,68,,,,16.324796676635742,0.0
22,68,,,0.0007590126479044557,,
23,71,,,,16.32581901550293,0.0
23,71,,,0.00034138161572627723,,
24,74,,,,16.326189041137695,0.0
24,74,,,0.0001717835693852976,,
25,77,,,,16.32648468017578,0.0
25,77,,,0.00011436873319325969,,
26,80,,,,16.326587677001953,0.0
26,80,,,9.845130989560857e-05,,
27,83,,,,16.32683753967285,0.0
27,83,,,4.7476260078838095e-05,,
28,86,,,,16.326990127563477,0.0
28,86,,,8.513198736181948e-06,,
29,89,,,,16.327102661132812,0.0
29,89,,,6.490283510629524e-08,,
30,92,,,,16.32717514038086,0.0
30,92,,,3.243486048631894e-07,,
31,95,,,,16.327192306518555,0.0
31,95,,,3.140833655379538e-07,,
32,98,,,,16.327198028564453,0.0
32,98,,,1.1920928955078125e-07,,
33,101,,,,16.327199935913086,0.0
33,101,,,4.371007378267677e-08,,
34,104,,,,16.32720184326172,0.0
34,104,,,-5.06639494801675e-08,,
35,107,,,,16.32720184326172,0.0
35,107,,,4.205438841609066e-08,,
36,110,,,,16.32720184326172,0.0
36,110,,,6.126033014197674e-08,,
37,113,,,,16.32720184326172,0.0
37,113,,,1.3742181614873061e-08,,
38,116,,,,16.32720184326172,0.0
38,116,,,5.314747397733299e-08,,
39,119,,,,16.32720184326172,0.0
39,119,,,2.2517310682701464e-08,,
40,122,,,,16.32720184326172,0.0
40,122,,,-1.3245476715439963e-08,,
41,125,,,,16.32720184326172,0.0
41,125,,,1.655684617185571e-10,,
42,128,,,,16.32720184326172,0.0
42,128,,,-3.278255533700758e-08,,
43,131,,,,16.32720184326172,0.0
43,131,,,-1.4735592301917677e-08,,
44,134,,,,16.32720184326172,0.0
44,134,,,-5.794895940880451e-08,,
45,137,,,,16.32720184326172,0.0
45,137,,,6.539954000572834e-08,,
46,140,,,,16.327199935913086,0.0
46,140,,,-1.4901161193847656e-08,,
47,143,,,,16.327199935913086,0.0
47,143,,,-4.238552619995062e-08,,
48,146,,,,16.327199935913086,0.0
48,146,,,3.013346017155527e-08,,
49,149,,,,16.327199935913086,0.0
49,149,,,-4.27166604310969e-08,,
50,152,,,,16.327199935913086,0.0
50,152,,,-9.106265075331521e-09,,
51,155,,,,16.327199935913086,0.0
51,155,,,3.3610398020300636e-08,,
52,158,,,,16.327199935913086,0.0
52,158,,,5.62932740422184e-08,,
53,161,,,,16.327199935913086,0.0
53,161,,,1.2252066028395348e-08,,
54,164,,,,16.327199935913086,0.0
54,164,,,4.470348358154297e-08,,
55,167,,,,16.327199935913086,0.0
55,167,,,5.16573592790337e-08,,
56,170,,,,16.327199935913086,0.0
56,170,,,2.831220591303918e-08,,
57,173,,,,16.327199935913086,0.0
57,173,,,3.212027976928766e-08,,
58,176,,,,16.327199935913086,0.0
58,176,,,-1.2583202924076886e-08,,
59,179,,,,16.327199935913086,0.0
59,179,,,-4.917383122915453e-08,,
60,182,,,,16.327199935913086,0.0
60,182,,,-6.655852047288136e-08,,
61,185,,,,16.327199935913086,0.0
61,185,,,-6.788306450289383e-08,,
62,188,,,,16.327199935913086,0.0
62,188,,,-4.238552619995062e-08,,
63,191,,,,16.327199935913086,0.0
63,191,,,-5.563100202721216e-08,,
64,194,,,,16.327199935913086,0.0
64,194,,,-3.774960788405224e-08,,
65,197,,,,16.327199935913086,0.0
65,197,,,-4.503462136540293e-08,,
66,200,,,,16.327199935913086,0.0
66,200,,,-2.317958447406454e-08,,
67,203,,,,16.327199935913086,0.0
67,203,,,-3.774960788405224e-08,,
68,206,,,,16.327199935913086,0.0
68,206,,,-3.510051271859993e-08,,
69,209,,,,16.327199935913086,0.0
69,209,,,-4.5696893380409165e-08,,
70,212,,,,16.327199935913086,0.0
70,212,,,-3.8411883451772155e-08,,
71,215,,,,16.327199935913086,0.0
71,215,,,-4.5696893380409165e-08,,
72,218,,,,16.327199935913086,0.0
72,218,,,-5.2319631294039937e-08,,
73,221,,,,16.327199935913086,0.0
73,221,,,-3.907415546677839e-08,,
74,224,,,,16.327199935913086,0.0
74,224,,,-2.7153227222243004e-08,,
75,227,,,,16.327199935913086,0.0
75,227,,,-3.973643103449831e-08,,
76,230,,,,16.327199935913086,0.0
76,230,,,-3.907415546677839e-08,,
77,233,,,,16.327199935913086,0.0
77,233,,,-5.2319631294039937e-08,,
78,236,,,,16.327199935913086,0.0
78,236,,,-4.8345988545861474e-08,,
79,239,,,,16.327199935913086,0.0
79,239,,,-3.3775965135873776e-08,,
80,242,,,,16.327199935913086,0.0
80,242,,,-3.510051271859993e-08,,
81,245,,,,16.327199935913086,0.0
81,245,,,-3.6425060301326084e-08,,
82,248,,,,16.327199935913086,0.0
82,248,,,-4.17232506322307e-08,,
83,251,,,,16.327199935913086,0.0
83,251,,,-4.17232506322307e-08,,
84,254,,,,16.327199935913086,0.0
84,254,,,-5.2319631294039937e-08,,
85,257,,,,16.327199935913086,0.0
85,257,,,-3.245141755314762e-08,,
86,260,,,,16.327199935913086,0.0
86,260,,,-4.371007378267677e-08,,
87,263,,,,16.327199935913086,0.0
87,263,,,-4.967053612858763e-08,,
88,266,,,,16.327199935913086,0.0
88,266,,,-4.702144096313532e-08,,
89,269,,,,16.327199935913086,0.0
89,269,,,-5.364417887676609e-08,,
90,272,,,,16.327199935913086,0.0
90,272,,,-6.556511067401516e-08,,
91,275,,,,16.327199935913086,0.0
91,275,,,-3.5762788286319847e-08,,
92,278,,,,16.327199935913086,0.0
92,278,,,-3.6425060301326084e-08,,
93,281,,,,16.327199935913086,0.0
93,281,,,-5.099508371131378e-08,,
