step,val_mse,val_regret,epoch,train_loss,test_mse,test_regret
0,144.52066040039062,17.148365020751953,0,,,
24,143.69085693359375,17.004287719726562,0,,,
24,,,0,137.53233337402344,,
49,142.8731689453125,16.917455673217773,1,,,
49,,,1,136.7604522705078,,
74,142.06834411621094,16.282102584838867,2,,,
74,,,2,135.9869842529297,,
99,141.23866271972656,15.485154151916504,3,,,
99,,,3,135.23663330078125,,
124,140.4390106201172,15.094379425048828,4,,,
124,,,4,134.46798706054688,,
149,139.6401824951172,14.822342872619629,5,,,
149,,,5,133.7142791748047,,
174,138.83103942871094,14.453665733337402,6,,,
174,,,6,132.96044921875,,
199,138.04541015625,14.308318138122559,7,,,
199,,,7,132.2103729248047,,
224,137.25625610351562,14.1369047164917,8,,,
224,,,8,131.4672088623047,,
249,136.47512817382812,13.823883056640625,9,,,
249,,,9,130.72698974609375,,
274,135.6869659423828,13.004233360290527,10,,,
274,,,10,129.9924774169922,,
299,134.90982055664062,12.557674407958984,11,,,
299,,,11,129.2654266357422,,
324,134.14068603515625,12.227130889892578,12,,,
324,,,12,128.5320587158203,,
349,133.3603057861328,12.10418701171875,13,,,
349,,,13,127.81684875488281,,
374,132.5983428955078,11.631479263305664,14,,,
374,,,14,127.09622192382812,,
399,131.8426513671875,11.704571723937988,15,,,
399,,,15,126.38355255126953,,
424,131.09690856933594,11.887615203857422,16,,,
424,,,16,125.67430877685547,,
449,130.34278869628906,11.48986530303955,17,,,
449,,,17,124.97517395019531,,
474,129.6172332763672,11.397299766540527,18,,,
474,,,18,124.2685546875,,
499,128.83309936523438,11.168689727783203,19,,,
499,,,19,123.5911636352539,,
524,128.11126708984375,10.757664680480957,20,,,
524,,,20,122.88737487792969,,
549,127.39175415039062,10.7215576171875,21,,,
549,,,21,122.20246887207031,,
574,126.6692123413086,10.785224914550781,22,,,
574,,,22,121.52177429199219,,
599,125.93254089355469,10.7144193649292,23,,,
599,,,23,120.85047149658203,,
624,125.2237319946289,10.832808494567871,24,,,
624,,,24,120.1718978881836,,
649,124.51542663574219,10.254791259765625,25,,,
649,,,25,119.5046157836914,,
674,123.78799438476562,10.300780296325684,26,,,
674,,,26,118.84525299072266,,
699,123.08457946777344,10.258295059204102,27,,,
699,,,27,118.181640625,,
724,122.39636993408203,10.239480972290039,28,,,
724,,,28,117.52520751953125,,
749,121.69763946533203,10.051915168762207,29,,,
749,,,29,116.87696075439453,,
774,121.0009765625,10.187668800354004,30,,,
774,,,30,116.2291030883789,,
799,120.3126449584961,10.015096664428711,31,,,
799,,,31,115.58322143554688,,
824,119.63272094726562,10.025810241699219,32,,,
824,,,32,114.94812774658203,,
849,118.95591735839844,9.974207878112793,33,,,
849,,,33,114.31085205078125,,
874,118.27375030517578,9.974207878112793,34,,,
874,,,34,113.68292236328125,,
899,117.61461639404297,9.775849342346191,35,,,
899,,,35,113.05120849609375,,
924,116.93736267089844,9.7770357131958,36,,,
924,,,36,112.43335723876953,,
949,116.2744369506836,9.785146713256836,37,,,
949,,,37,111.80976867675781,,
974,115.61459350585938,9.359416007995605,38,,,
974,,,38,111.19677734375,,
999,114.96753692626953,9.359416007995605,39,,,
999,,,39,110.58279418945312,,
1024,114.3083724975586,9.25088119506836,40,,,
1024,,,40,109.97879028320312,,
1049,113.6606216430664,9.218331336975098,41,,,
1049,,,41,109.37056732177734,,
1074,113.01176452636719,9.217255592346191,42,,,
1074,,,42,108.7702865600586,,
1099,112.38276672363281,9.171870231628418,43,,,
1099,,,43,108.17078399658203,,
1124,111.7551498413086,9.189615249633789,44,,,
1124,,,44,107.57977294921875,,
1149,111.09786224365234,9.121310234069824,45,,,
1149,,,45,106.99263763427734,,
1174,110.47271728515625,9.121310234069824,46,,,
1174,,,46,106.4032211303711,,
1199,109.85364532470703,9.121310234069824,47,,,
1199,,,47,105.81552124023438,,
1224,109.229736328125,9.083471298217773,48,,,
1224,,,48,105.23985290527344,,
1249,108.60800170898438,9.122139930725098,49,,,
1249,,,49,104.66378784179688,,
1274,108.00476837158203,9.122139930725098,50,,,
1274,,,50,104.08582305908203,,
1299,107.3912124633789,9.122139930725098,51,,,
1299,,,51,103.52250671386719,,
1324,106.77269744873047,9.138105392456055,52,,,
1324,,,52,102.9554672241211,,
1349,106.4654769897461,9.138105392456055,53,,,
1349,,,53,102.5260238647461,,
1374,106.16940307617188,9.138105392456055,54,,,
1374,,,54,102.24325561523438,,
1399,105.86946105957031,9.168749809265137,55,,,
1399,,,55,101.96357727050781,,
1424,105.56643676757812,9.445724487304688,56,,,
1424,,,56,101.6834487915039,,
1449,105.41838073730469,9.546875,57,,,
1449,,,57,101.47085571289062,,
1474,105.26571655273438,9.546875,58,,,
1474,,,58,101.3318862915039,,
1475,,,59,,108.52588653564453,8.194478988647461
