step,val_regret,epoch,val_mse,train_loss,test_regret,test_mse
0,18.718101501464844,0,135.32473754882812,,,
24,18.696489334106445,0,134.54002380371094,,,
24,,0,,141.86354064941406,,
49,18.493270874023438,1,133.77377319335938,,,
49,,1,,141.03221130371094,,
74,18.054576873779297,2,133.00267028808594,,,
74,,2,,140.21315002441406,,
99,17.317476272583008,3,132.2539520263672,,,
99,,3,,139.3899383544922,,
124,17.045948028564453,4,131.47743225097656,,,
124,,4,,138.59432983398438,,
149,16.759063720703125,5,130.73391723632812,,,
149,,5,,137.77589416503906,,
174,16.6695499420166,6,129.9881591796875,,,
174,,6,,136.98680114746094,,
199,16.09626007080078,7,129.25152587890625,,,
199,,7,,136.1854705810547,,
224,15.54069709777832,8,128.51608276367188,,,
224,,8,,135.40188598632812,,
249,15.39152717590332,9,127.78881072998047,,,
249,,9,,134.6147918701172,,
274,14.935707092285156,10,127.06211853027344,,,
274,,10,,133.842041015625,,
299,14.765815734863281,11,126.34066772460938,,,
299,,11,,133.07083129882812,,
324,14.218421936035156,12,125.63678741455078,,,
324,,12,,132.30166625976562,,
349,13.308740615844727,13,124.92113494873047,,,
349,,13,,131.5447998046875,,
374,13.114340782165527,14,124.21240997314453,,,
374,,14,,130.7891845703125,,
399,12.974739074707031,15,123.51763916015625,,,
399,,15,,130.03041076660156,,
424,12.348143577575684,16,122.8240737915039,,,
424,,16,,129.28970336914062,,
449,12.007807731628418,17,122.1319808959961,,,
449,,17,,128.54881286621094,,
474,11.915117263793945,18,121.43701934814453,,,
474,,18,,127.8126449584961,,
499,11.791836738586426,19,120.7562484741211,,,
499,,19,,127.07649230957031,,
524,11.787410736083984,20,120.07827758789062,,,
524,,20,,126.34974670410156,,
549,11.535396575927734,21,119.40601348876953,,,
549,,21,,125.62667846679688,,
574,11.45973014831543,22,118.73185729980469,,,
574,,22,,124.91180419921875,,
599,11.397316932678223,23,118.0688705444336,,,
599,,23,,124.19873046875,,
624,11.175500869750977,24,117.41323852539062,,,
624,,24,,123.48657989501953,,
649,11.058784484863281,25,116.74972534179688,,,
649,,25,,122.78924560546875,,
674,10.897797584533691,26,116.10388946533203,,,
674,,26,,122.08447265625,,
699,11.040214538574219,27,115.45254516601562,,,
699,,27,,121.38850402832031,,
724,10.778183937072754,28,114.80972290039062,,,
724,,28,,120.69764709472656,,
749,10.655935287475586,29,114.1745376586914,,,
749,,29,,120.00791931152344,,
774,10.561203956604004,30,113.52362060546875,,,
774,,30,,119.33544158935547,,
799,10.435467720031738,31,112.89620971679688,,,
799,,31,,118.64509582519531,,
824,9.734966278076172,32,112.27088165283203,,,
824,,32,,117.97686767578125,,
849,9.808357238769531,33,111.64421081542969,,,
849,,33,,117.30667877197266,,
874,9.857483863830566,34,111.02354431152344,,,
874,,34,,116.64222717285156,,
899,9.85862922668457,35,110.40022277832031,,,
899,,35,,115.97904968261719,,
924,9.742770195007324,36,109.78848266601562,,,
924,,36,,115.31999969482422,,
949,9.937540054321289,37,109.4825210571289,,,
949,,37,,114.82202911376953,,
974,9.937540054321289,38,109.17572021484375,,,
974,,38,,114.4965591430664,,
999,9.720765113830566,39,108.87071990966797,,,
999,,39,,114.1725082397461,,
1024,9.64050006866455,40,108.57382202148438,,,
1024,,40,,113.84484100341797,,
1049,9.678709030151367,41,108.27252960205078,,,
1049,,41,,113.52330017089844,,
1074,9.74239730834961,42,107.96492004394531,,,
1074,,42,,113.20398712158203,,
1099,9.723733901977539,43,107.67051696777344,,,
1099,,43,,112.87727355957031,,
1124,9.723733901977539,44,107.36683654785156,,,
1124,,44,,112.55926513671875,,
1149,9.645301818847656,45,107.217041015625,,,
1149,,45,,112.3130111694336,,
1174,9.645301818847656,46,107.06790161132812,,,
1174,,46,,112.15327453613281,,
1199,9.645301818847656,47,106.91912841796875,,,
1199,,47,,111.99278259277344,,
1224,9.645301818847656,48,106.7665786743164,,,
1224,,48,,111.83503723144531,,
1249,9.598498344421387,49,106.69204711914062,,,
1249,,49,,111.71121978759766,,
1274,9.598498344421387,50,106.61731719970703,,,
1274,,50,,111.63114929199219,,
1299,9.663681983947754,51,106.5423355102539,,,
1299,,51,,111.5512466430664,,
1324,9.663681983947754,52,106.46809387207031,,,
1324,,52,,111.47106170654297,,
1349,9.663681983947754,53,106.39226531982422,,,
1349,,53,,111.3921890258789,,
1374,9.663681983947754,54,106.35540008544922,,,
1374,,54,,111.32965850830078,,
1399,9.663681983947754,55,106.31761932373047,,,
1399,,55,,111.29003143310547,,
1424,9.663681983947754,56,106.27987670898438,,,
1424,,56,,111.24986267089844,,
1449,9.663681983947754,57,106.24222564697266,,,
1449,,57,,111.2097396850586,,
1474,9.663681983947754,58,106.22366333007812,,,
1474,,58,,111.17867279052734,,
1499,9.663681983947754,59,106.20438385009766,,,
1499,,59,,111.15897369384766,,
1500,,60,,,9.317407608032227,105.14561462402344
