step,val_mse,val_regret,epoch,train_loss,test_mse,test_regret
0,150.71189880371094,22.387670516967773,0,,,
24,150.5677490234375,21.95639419555664,0,,,
24,,,0,1382.5771484375,,
49,150.4258575439453,21.34469223022461,1,,,
49,,,1,1382.81103515625,,
74,150.2943115234375,20.74600601196289,2,,,
74,,,2,1382.3160400390625,,
99,150.1588134765625,19.55364418029785,3,,,
99,,,3,1381.2606201171875,,
124,150.0330352783203,17.95855712890625,4,,,
124,,,4,1382.75244140625,,
149,149.90200805664062,17.44287872314453,5,,,
149,,,5,1383.29931640625,,
174,149.77923583984375,16.574541091918945,6,,,
174,,,6,1382.263916015625,,
199,149.6541290283203,15.876842498779297,7,,,
199,,,7,1381.20263671875,,
224,149.53701782226562,14.541730880737305,8,,,
224,,,8,1378.85009765625,,
249,149.4098663330078,13.267082214355469,9,,,
249,,,9,1376.4000244140625,,
274,149.2967529296875,12.316936492919922,10,,,
274,,,10,1372.5433349609375,,
299,149.1780548095703,11.348572731018066,11,,,
299,,,11,1370.1407470703125,,
324,149.069580078125,10.892531394958496,12,,,
324,,,12,1365.7576904296875,,
349,148.95799255371094,9.674338340759277,13,,,
349,,,13,1361.7337646484375,,
374,148.84017944335938,9.462990760803223,14,,,
374,,,14,1356.109375,,
399,148.7230987548828,9.000868797302246,15,,,
399,,,15,1350.8043212890625,,
424,148.62203979492188,8.812978744506836,16,,,
424,,,16,1346.22509765625,,
449,148.51113891601562,8.826653480529785,17,,,
449,,,17,1341.08740234375,,
474,148.40884399414062,8.733963966369629,18,,,
474,,,18,1336.712158203125,,
499,148.30670166015625,8.96506118774414,19,,,
499,,,19,1331.290283203125,,
524,148.2021484375,8.38330364227295,20,,,
524,,,20,1324.80615234375,,
549,148.09889221191406,8.232059478759766,21,,,
549,,,21,1318.7230224609375,,
574,148.00140380859375,8.131610870361328,22,,,
574,,,22,1314.2841796875,,
599,147.9022979736328,8.100296974182129,23,,,
599,,,23,1305.8182373046875,,
624,147.81512451171875,7.915035247802734,24,,,
624,,,24,1298.8651123046875,,
649,147.72671508789062,7.901465892791748,25,,,
649,,,25,1290.5758056640625,,
674,147.64170837402344,7.833819389343262,26,,,
674,,,26,1284.31982421875,,
699,147.5585479736328,7.902383804321289,27,,,
699,,,27,1273.2225341796875,,
724,147.48435974121094,7.947486400604248,28,,,
724,,,28,1260.897705078125,,
749,147.40476989746094,7.940627574920654,29,,,
749,,,29,1251.1473388671875,,
774,147.32456970214844,7.838420391082764,30,,,
774,,,30,1236.64453125,,
799,147.28775024414062,7.838420391082764,31,,,
799,,,31,1227.67041015625,,
824,147.25006103515625,7.804498195648193,32,,,
824,,,32,1224.151611328125,,
849,147.21551513671875,7.804498195648193,33,,,
849,,,33,1220.07470703125,,
874,147.18295288085938,7.741899490356445,34,,,
874,,,34,1213.2337646484375,,
899,147.14361572265625,7.735478401184082,35,,,
899,,,35,1205.8924560546875,,
924,147.11166381835938,7.636707782745361,36,,,
924,,,36,1200.09912109375,,
949,147.07830810546875,7.636707782745361,37,,,
949,,,37,1193.918212890625,,
974,147.04539489746094,7.636707782745361,38,,,
974,,,38,1185.826904296875,,
999,147.01498413085938,7.60362434387207,39,,,
999,,,39,1182.0042724609375,,
1024,146.98289489746094,7.629946708679199,40,,,
1024,,,40,1178.546142578125,,
1049,146.95115661621094,7.592092990875244,41,,,
1049,,,41,1175.0787353515625,,
1074,146.9216766357422,7.592092990875244,42,,,
1074,,,42,1170.49169921875,,
1099,146.8918914794922,7.592092990875244,43,,,
1099,,,43,1165.8638916015625,,
1124,146.86172485351562,7.592092990875244,44,,,
1124,,,44,1161.46240234375,,
1149,146.83001708984375,7.602083683013916,45,,,
1149,,,45,1155.7908935546875,,
1174,146.81622314453125,7.602083683013916,46,,,
1174,,,46,1154.0028076171875,,
1199,146.802490234375,7.602083683013916,47,,,
1199,,,47,1151.9801025390625,,
1224,146.78855895996094,7.602083683013916,48,,,
1224,,,48,1147.7469482421875,,
1249,146.7738494873047,7.602083683013916,49,,,
1249,,,49,1144.45263671875,,
1274,146.7665557861328,7.602083683013916,50,,,
1274,,,50,1141.61767578125,,
1299,146.7602996826172,7.602083683013916,51,,,
1299,,,51,1140.748291015625,,
1300,,,52,,139.8191375732422,7.004149913787842
