epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,0,,,,19.18720054626465,0.09341727197170258
0,2,,,,18.56882095336914,0.025940418243408203
0,2,,,2.039358615875244,,
1,5,,,,18.766355514526367,0.011975747533142567
1,5,,,0.6106797456741333,,
2,8,,,,18.8266658782959,0.006813800893723965
2,8,,,0.6140269041061401,,
3,11,,,,18.754358291625977,0.002986904699355364
3,11,,,0.46966445446014404,,
4,14,,,,18.75839614868164,0.00154824648052454
4,14,,,0.2648733854293823,,
5,17,,,,18.831941604614258,0.0019252035999670625
5,17,,,0.26137202978134155,,
6,20,,,,18.95037841796875,0.0
6,20,,,0.2606382668018341,,
7,23,,,,19.103389739990234,0.0
7,23,,,0.22268329560756683,,
8,26,,,,19.230600357055664,0.0
8,26,,,0.2147340178489685,,
9,29,,,,19.29849624633789,0.0
9,29,,,0.20728057622909546,,
10,32,,,,19.369977951049805,0.0006748269661329687
10,32,,,0.1969323456287384,,
11,35,,,,19.398380279541016,0.0006748269661329687
11,35,,,0.19570501148700714,,
12,38,,,,19.420166015625,0.0
12,38,,,0.19309768080711365,,
13,41,,,,19.42521095275879,0.0
13,41,,,0.18860359489917755,,
14,44,,,,19.426368713378906,0.0
14,44,,,0.1852036416530609,,
15,47,,,,19.425302505493164,0.0
15,47,,,0.1840425729751587,,
16,50,,,,19.422054290771484,0.0
16,50,,,0.1837025284767151,,
17,53,,,,19.41843605041504,0.0
17,53,,,0.1835908740758896,,
18,56,,,,19.415088653564453,0.0
18,56,,,0.18343931436538696,,
19,59,,,,19.412508010864258,0.0
19,59,,,0.18335126340389252,,
20,62,,,,19.410289764404297,0.0
20,62,,,0.18325479328632355,,
21,65,,,,19.408483505249023,0.0
21,65,,,0.18317539989948273,,
22,68,,,,19.406888961791992,0.0
22,68,,,0.18313026428222656,,
23,71,,,,19.406160354614258,0.0
23,71,,,0.18307079374790192,,
24,74,,,,19.405519485473633,0.0
24,74,,,0.18304824829101562,,
25,77,,,,19.405012130737305,0.0
25,77,,,0.18302713334560394,,
26,80,,,,19.40469741821289,0.0
26,80,,,0.18301501870155334,,
27,83,,,,19.404592514038086,0.0
27,83,,,0.182998925447464,,
28,86,,,,19.404502868652344,0.0
