step,val_mse,val_regret,epoch,train_loss,test_mse,test_regret
0,132.67935180664062,17.470029830932617,0,,,
24,131.98092651367188,17.774845123291016,0,,,
24,,,0,138.60873413085938,,
49,131.24847412109375,17.420419692993164,1,,,
49,,,1,137.82347106933594,,
74,130.52752685546875,16.23492431640625,2,,,
74,,,2,137.04319763183594,,
99,129.79849243164062,15.626728057861328,3,,,
99,,,3,136.27732849121094,,
124,129.0967559814453,15.734912872314453,4,,,
124,,,4,135.52194213867188,,
149,128.40097045898438,15.059333801269531,5,,,
149,,,5,134.75302124023438,,
174,127.69905090332031,14.328629493713379,6,,,
174,,,6,133.99803161621094,,
199,127.0017318725586,13.853377342224121,7,,,
199,,,7,133.24656677246094,,
224,126.28763580322266,13.630459785461426,8,,,
224,,,8,132.5131378173828,,
249,125.61752319335938,13.70313835144043,9,,,
249,,,9,131.7552490234375,,
274,124.93160247802734,13.530396461486816,10,,,
274,,,10,131.0276336669922,,
299,124.26115417480469,13.058987617492676,11,,,
299,,,11,130.2884521484375,,
324,123.5770034790039,12.357658386230469,12,,,
324,,,12,129.5640106201172,,
349,122.91203308105469,12.357658386230469,13,,,
349,,,13,128.8395233154297,,
374,122.22676086425781,12.198485374450684,14,,,
374,,,14,128.13064575195312,,
399,121.57556915283203,12.028482437133789,15,,,
399,,,15,127.40393829345703,,
424,120.91120910644531,11.785004615783691,16,,,
424,,,16,126.69706726074219,,
449,120.26443481445312,11.594143867492676,17,,,
449,,,17,125.99110412597656,,
474,119.61337280273438,10.989304542541504,18,,,
474,,,18,125.29045867919922,,
499,118.96473693847656,11.056501388549805,19,,,
499,,,19,124.59671783447266,,
524,118.32547760009766,11.014338493347168,20,,,
524,,,20,123.89985656738281,,
549,117.6733169555664,10.8065824508667,21,,,
549,,,21,123.21855163574219,,
574,117.05430603027344,10.330046653747559,22,,,
574,,,22,122.5267105102539,,
599,116.4155044555664,9.801511764526367,23,,,
599,,,23,121.85017395019531,,
624,115.7781753540039,9.8109712600708,24,,,
624,,,24,121.17317199707031,,
649,115.1661605834961,9.510268211364746,25,,,
649,,,25,120.50540924072266,,
674,114.55199432373047,9.510268211364746,26,,,
674,,,26,119.8395767211914,,
699,113.9306869506836,9.399563789367676,27,,,
699,,,27,119.17205047607422,,
724,113.32227325439453,9.316781044006348,28,,,
724,,,28,118.51786804199219,,
749,112.72142791748047,9.316781044006348,29,,,
749,,,29,117.8563003540039,,
774,112.11634826660156,9.301833152770996,30,,,
774,,,30,117.2098617553711,,
799,111.5124740600586,9.165865898132324,31,,,
799,,,31,116.5640640258789,,
824,110.90777587890625,9.148151397705078,32,,,
824,,,32,115.91681671142578,,
849,110.3188247680664,9.251285552978516,33,,,
849,,,33,115.28227233886719,,
874,109.73316192626953,9.175397872924805,34,,,
874,,,34,114.64533996582031,,
899,109.14404296875,9.016812324523926,35,,,
899,,,35,114.01150512695312,,
924,108.55960083007812,8.88097095489502,36,,,
924,,,36,113.38734436035156,,
949,107.9783706665039,8.968118667602539,37,,,
949,,,37,112.76507568359375,,
974,107.40282440185547,8.618518829345703,38,,,
974,,,38,112.1415023803711,,
999,106.8349609375,8.527674674987793,39,,,
999,,,39,111.52428436279297,,
1024,106.267578125,8.135703086853027,40,,,
1024,,,40,110.91593933105469,,
1049,105.69537353515625,7.962301254272461,41,,,
1049,,,41,110.3076400756836,,
1074,105.12866973876953,7.918034553527832,42,,,
1074,,,42,109.69737243652344,,
1099,104.58238983154297,7.801599025726318,43,,,
1099,,,43,109.09639739990234,,
1124,104.0228500366211,7.688248157501221,44,,,
1124,,,44,108.4994125366211,,
1149,103.4620132446289,7.6172661781311035,45,,,
1149,,,45,107.90957641601562,,
1174,102.9152603149414,7.6172661781311035,46,,,
1174,,,46,107.31015014648438,,
1199,102.3733139038086,7.7015299797058105,47,,,
1199,,,47,106.72216033935547,,
1224,101.82344818115234,7.659335136413574,48,,,
1224,,,48,106.1447982788086,,
1249,101.28337097167969,7.626233100891113,49,,,
1249,,,49,105.55715942382812,,
1274,101.01873016357422,7.704829216003418,50,,,
1274,,,50,105.119384765625,,
1299,100.74920654296875,7.704829216003418,51,,,
1299,,,51,104.83206939697266,,
1324,100.47858428955078,7.704829216003418,52,,,
1324,,,52,104.54313659667969,,
1349,100.2153091430664,7.636880874633789,53,,,
1349,,,53,104.25616455078125,,
1374,100.08135986328125,7.636880874633789,54,,,
1374,,,54,104.03877258300781,,
1399,99.94670867919922,7.636880874633789,55,,,
1399,,,55,103.89570617675781,,
1400,,,56,,108.26202392578125,8.336726188659668
