step,val_mse,val_regret,epoch,train_loss,test_mse,test_regret
0,154.94546508789062,25.11536407470703,0,,,
24,154.81231689453125,22.452899932861328,0,,,
24,,,0,1362.9334716796875,,
49,154.68243408203125,21.299421310424805,1,,,
49,,,1,1363.3245849609375,,
74,154.561279296875,20.200410842895508,2,,,
74,,,2,1363.241455078125,,
99,154.44407653808594,19.203821182250977,3,,,
99,,,3,1363.4615478515625,,
124,154.3334197998047,18.654329299926758,4,,,
124,,,4,1362.9920654296875,,
149,154.2188720703125,18.043119430541992,5,,,
149,,,5,1362.1318359375,,
174,154.10836791992188,17.283126831054688,6,,,
174,,,6,1359.1361083984375,,
199,154.00350952148438,16.366708755493164,7,,,
199,,,7,1357.348388671875,,
224,153.90484619140625,14.820731163024902,8,,,
224,,,8,1355.3336181640625,,
249,153.80738830566406,13.902216911315918,9,,,
249,,,9,1353.4212646484375,,
274,153.7104034423828,13.466645240783691,10,,,
274,,,10,1351.454345703125,,
299,153.61363220214844,12.859114646911621,11,,,
299,,,11,1348.971435546875,,
324,153.52166748046875,12.049551963806152,12,,,
324,,,12,1345.0263671875,,
349,153.43475341796875,11.389020919799805,13,,,
349,,,13,1342.50390625,,
374,153.34661865234375,11.165680885314941,14,,,
374,,,14,1340.5128173828125,,
399,153.2612762451172,10.913830757141113,15,,,
399,,,15,1334.5166015625,,
424,153.17835998535156,9.960373878479004,16,,,
424,,,16,1328.0269775390625,,
449,153.09764099121094,10.105711936950684,17,,,
449,,,17,1322.873779296875,,
474,153.0235595703125,10.004310607910156,18,,,
474,,,18,1317.3509521484375,,
499,152.94699096679688,9.931902885437012,19,,,
499,,,19,1311.0916748046875,,
524,152.87533569335938,10.017765045166016,20,,,
524,,,20,1305.5712890625,,
549,152.8074188232422,10.096585273742676,21,,,
549,,,21,1297.891357421875,,
574,152.74246215820312,9.90019702911377,22,,,
574,,,22,1292.60693359375,,
599,152.67247009277344,9.903067588806152,23,,,
599,,,23,1286.7333984375,,
624,152.60986328125,9.789003372192383,24,,,
624,,,24,1281.2998046875,,
649,152.54388427734375,9.690082550048828,25,,,
649,,,25,1275.0263671875,,
674,152.48875427246094,9.666717529296875,26,,,
674,,,26,1269.9017333984375,,
699,152.4260711669922,9.54478645324707,27,,,
699,,,27,1264.6806640625,,
724,152.3694610595703,9.514251708984375,28,,,
724,,,28,1258.8726806640625,,
749,152.3163604736328,9.393085479736328,29,,,
749,,,29,1253.0908203125,,
774,152.2597198486328,9.296015739440918,30,,,
774,,,30,1245.31787109375,,
799,152.20521545410156,9.192403793334961,31,,,
799,,,31,1237.6851806640625,,
824,152.15260314941406,9.050427436828613,32,,,
824,,,32,1229.1715087890625,,
849,152.10223388671875,8.874794006347656,33,,,
849,,,33,1222.52197265625,,
874,152.05613708496094,8.874794006347656,34,,,
874,,,34,1214.3834228515625,,
899,152.0143585205078,9.05303955078125,35,,,
899,,,35,1204.03466796875,,
924,151.97764587402344,9.036236763000488,36,,,
924,,,36,1198.6666259765625,,
949,151.93443298339844,8.81772232055664,37,,,
949,,,37,1191.4490966796875,,
974,151.89703369140625,8.619070053100586,38,,,
974,,,38,1182.874267578125,,
999,151.86143493652344,8.6381196975708,39,,,
999,,,39,1176.4827880859375,,
1024,151.82582092285156,8.622567176818848,40,,,
1024,,,40,1165.7327880859375,,
1049,151.79425048828125,8.639792442321777,41,,,
1049,,,41,1161.9521484375,,
1074,151.76177978515625,8.417515754699707,42,,,
1074,,,42,1153.2996826171875,,
1099,151.7250213623047,8.417515754699707,43,,,
1099,,,43,1145.9066162109375,,
1124,151.6927947998047,8.417515754699707,44,,,
1124,,,44,1137.6180419921875,,
1149,151.6632843017578,8.34278678894043,45,,,
1149,,,45,1128.1549072265625,,
1174,151.6348876953125,8.246111869812012,46,,,
1174,,,46,1117.7769775390625,,
1199,151.6083984375,8.453632354736328,47,,,
1199,,,47,1108.69970703125,,
1224,151.57888793945312,8.453632354736328,48,,,
1224,,,48,1103.209228515625,,
1249,151.54689025878906,8.453632354736328,49,,,
1249,,,49,1091.28564453125,,
1274,151.51846313476562,8.453632354736328,50,,,
1274,,,50,1082.838134765625,,
1299,151.5070343017578,8.453632354736328,51,,,
1299,,,51,1079.8076171875,,
1324,151.4931640625,8.453632354736328,52,,,
1324,,,52,1076.2962646484375,,
1349,151.4784393310547,8.453632354736328,53,,,
1349,,,53,1070.154541015625,,
1374,151.46536254882812,8.453632354736328,54,,,
1374,,,54,1066.21435546875,,
1399,151.45968627929688,8.453632354736328,55,,,
1399,,,55,1063.3955078125,,
1424,151.45452880859375,8.453632354736328,56,,,
1424,,,56,1061.251708984375,,
1425,,,57,,126.22151184082031,7.0349531173706055
