epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,0,,,,118.76058197021484,0.3246464431285858
0,2,,,,117.37025451660156,0.2954043745994568
0,2,,,623.9204711914062,,
1,5,,,,116.9203872680664,0.19254957139492035
1,5,,,587.7175903320312,,
2,8,,,,116.87547302246094,0.17083793878555298
2,8,,,527.0708618164062,,
3,11,,,,116.66768646240234,0.17083793878555298
3,11,,,483.34765625,,
4,14,,,,116.71690368652344,0.17083793878555298
4,14,,,369.3672180175781,,
5,17,,,,116.7507553100586,0.181218221783638
5,17,,,315.8796081542969,,
6,20,,,,116.8073959350586,0.181218221783638
6,20,,,277.54144287109375,,
7,23,,,,116.78764343261719,0.181218221783638
7,23,,,269.9224853515625,,
8,26,,,,116.73484802246094,0.181218221783638
8,26,,,259.7571716308594,,
9,29,,,,116.681884765625,0.181218221783638
9,29,,,253.7875213623047,,
10,32,,,,116.616943359375,0.181218221783638
10,32,,,249.07020568847656,,
11,35,,,,116.58732604980469,0.181218221783638
11,35,,,254.63693237304688,,
12,38,,,,116.56388854980469,0.17083793878555298
12,38,,,252.89852905273438,,
13,41,,,,116.53670501708984,0.17083793878555298
13,41,,,255.08460998535156,,
14,44,,,,116.5090560913086,0.17083793878555298
14,44,,,256.5430908203125,,
15,47,,,,116.49930572509766,0.17083793878555298
15,47,,,252.80535888671875,,
16,50,,,,116.48915100097656,0.17083793878555298
16,50,,,249.2236785888672,,
17,53,,,,116.4780502319336,0.17083793878555298
17,53,,,261.2181091308594,,
18,56,,,,116.46742248535156,0.17083793878555298
18,56,,,255.45201110839844,,
19,59,,,,116.46327209472656,0.17083793878555298
19,59,,,259.8096008300781,,
20,62,,,,116.45762634277344,0.17083793878555298
20,62,,,252.22752380371094,,
21,65,,,,116.4513931274414,0.17083793878555298
21,65,,,260.5830383300781,,
22,68,,,,116.44710540771484,0.17083793878555298
22,68,,,268.0339050292969,,
23,71,,,,116.44374084472656,0.17083793878555298
23,71,,,261.5990295410156,,
24,74,,,,116.44050598144531,0.17083793878555298
24,74,,,260.91534423828125,,
25,77,,,,116.4381332397461,0.17083793878555298
25,77,,,263.2281799316406,,
26,80,,,,116.43766784667969,0.17083793878555298
26,80,,,267.2166748046875,,
27,83,,,,116.43727111816406,0.17083793878555298
27,83,,,264.9258117675781,,
28,86,,,,116.4372787475586,0.17083793878555298
28,86,,,260.4459228515625,,
29,89,,,,116.436767578125,0.17083793878555298
29,89,,,263.69696044921875,,
30,92,,,,116.4361801147461,0.17083793878555298
30,92,,,258.0501403808594,,
31,95,,,,116.43599700927734,0.17083793878555298
31,95,,,263.18170166015625,,
32,98,,,,116.4359359741211,0.17083793878555298
32,98,,,261.82427978515625,,
33,101,,,,116.4354476928711,0.17083793878555298
33,101,,,260.9705810546875,,
34,104,,,,116.43504333496094,0.17083793878555298
34,104,,,255.0152130126953,,
35,107,,,,116.43489074707031,0.17083793878555298
35,107,,,263.6387023925781,,
36,110,,,,116.43489074707031,0.17083793878555298
36,110,,,262.24261474609375,,
37,113,,,,116.4349594116211,0.17083793878555298
37,113,,,261.72540283203125,,
38,116,,,,116.43489074707031,0.17083793878555298
38,116,,,260.89739990234375,,
39,119,,,,116.43495178222656,0.17083793878555298
39,119,,,257.5891418457031,,
40,122,,,,116.4349594116211,0.17083793878555298
40,122,,,258.2286376953125,,
41,125,,,,116.4349136352539,0.17083793878555298
41,125,,,261.16741943359375,,
42,128,,,,116.4349136352539,0.17083793878555298
42,128,,,263.32171630859375,,
43,131,,,,116.4349136352539,0.17083793878555298
43,131,,,262.7031555175781,,
44,134,,,,116.43489837646484,0.17083793878555298
44,134,,,264.2045593261719,,
45,137,,,,116.4348373413086,0.17083793878555298
45,137,,,261.62799072265625,,
46,140,,,,116.43482971191406,0.17083793878555298
46,140,,,261.3688659667969,,
47,143,,,,116.43479919433594,0.17083793878555298
47,143,,,260.9724426269531,,
48,146,,,,116.43482971191406,0.17083793878555298
48,146,,,264.44287109375,,
49,149,,,,116.4348373413086,0.17083793878555298
49,149,,,263.23675537109375,,
50,152,,,,116.43482971191406,0.17083793878555298
50,152,,,264.13818359375,,
51,155,,,,116.4348373413086,0.17083793878555298
51,155,,,260.6839294433594,,
52,158,,,,116.4348373413086,0.17083793878555298
52,158,,,265.3366394042969,,
53,159,131.56283569335938,0.2216901034116745,,,
