epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,2510225920.0,0.23098993301391602
0,2,,,1.5173453092575073,,
1,5,,,,2510224384.0,0.13606876134872437
1,5,,,0.6021701097488403,,
2,8,,,,2510222592.0,0.08582209050655365
2,8,,,0.48012298345565796,,
3,11,,,,2510220800.0,0.09362558275461197
3,11,,,0.4309530556201935,,
4,14,,,,2510219520.0,0.08688046783208847
4,14,,,0.3723303973674774,,
5,17,,,,2510218752.0,0.1637226939201355
5,17,,,0.299269437789917,,
6,20,,,,2510217728.0,0.060241520404815674
6,20,,,0.2683990001678467,,
7,23,,,,2510216960.0,0.04136168956756592
7,23,,,0.23440180718898773,,
8,26,,,,2510216448.0,0.03961731866002083
8,26,,,0.20182710886001587,,
9,29,,,,2510215936.0,0.03961731866002083
9,29,,,0.20301908254623413,,
10,32,,,,2510216192.0,0.03440898656845093
10,32,,,0.1648981273174286,,
11,35,,,,2510215680.0,0.025938576087355614
11,35,,,0.1336042433977127,,
12,38,,,,2510215936.0,0.025938576087355614
12,38,,,0.12749320268630981,,
13,41,,,,2510215680.0,0.044642556458711624
13,41,,,0.13167265057563782,,
14,44,,,,2510215936.0,0.025938576087355614
14,44,,,0.12701968848705292,,
15,47,,,,2510215680.0,0.006707843393087387
15,47,,,0.11743111163377762,,
16,50,,,,2510215680.0,0.07918224483728409
16,50,,,0.1153082326054573,,
17,53,,,,2510215424.0,0.025938576087355614
17,53,,,0.11025887727737427,,
18,56,,,,2510215680.0,0.040633779019117355
18,56,,,0.10229925811290741,,
19,59,,,,2510215680.0,0.060478270053863525
19,59,,,0.11275903880596161,,
20,62,,,,2510215680.0,0.031629957258701324
20,62,,,0.09192225337028503,,
21,65,,,,2510216192.0,0.01972043886780739
21,65,,,0.08203794807195663,,
22,68,,,,2510216448.0,0.05257752537727356
22,68,,,0.08798767626285553,,
23,71,,,,2510216448.0,0.05257752537727356
23,71,,,0.08767148107290268,,
24,74,,,,2510216448.0,0.03956492990255356
24,74,,,0.08318477123975754,,
