epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,371382656.0,1.1783332824707031
0,2,,,0.6984736323356628,,
1,5,,,,371381696.0,0.2323721945285797
1,5,,,0.19833144545555115,,
2,8,,,,371380544.0,0.06730882823467255
2,8,,,0.16919592022895813,,
3,11,,,,371379488.0,0.0343591645359993
3,11,,,0.12102940678596497,,
4,14,,,,371378848.0,0.16690191626548767
4,14,,,0.11275751143693924,,
5,17,,,,371378496.0,0.0
5,17,,,0.10047879815101624,,
6,20,,,,371378304.0,0.0
6,20,,,0.08871128410100937,,
7,23,,,,371378272.0,0.06171489506959915
7,23,,,0.08005788922309875,,
8,26,,,,371378240.0,0.012993169948458672
8,26,,,0.06841985136270523,,
9,29,,,,371378240.0,0.0
9,29,,,0.06659702956676483,,
10,32,,,,371378112.0,0.015372445806860924
10,32,,,0.05633712187409401,,
11,35,,,,371378112.0,0.015372445806860924
11,35,,,0.05462269112467766,,
12,38,,,,371378144.0,0.07708734273910522
12,38,,,0.05109799653291702,,
13,41,,,,371378144.0,0.06171489506959915
13,41,,,0.045728057622909546,,
14,44,,,,371378112.0,0.0
14,44,,,0.04073021933436394,,
15,47,,,,371378080.0,0.0
15,47,,,0.04022500663995743,,
16,50,,,,371378048.0,0.0
16,50,,,0.0379108190536499,,
17,53,,,,371378048.0,0.0
17,53,,,0.036386050283908844,,
18,56,,,,371378048.0,0.0
18,56,,,0.03564690798521042,,
19,59,,,,371378016.0,0.024384494870901108
19,59,,,0.035072192549705505,,
20,62,,,,371378048.0,0.024384494870901108
20,62,,,0.03385879099369049,,
21,65,,,,371378080.0,0.024384494870901108
21,65,,,0.033562593162059784,,
22,68,,,,371378080.0,0.024384494870901108
22,68,,,0.03329546004533768,,
23,71,,,,371378112.0,0.024384494870901108
23,71,,,0.0330221988260746,,
24,74,,,,371378112.0,0.024384494870901108
24,74,,,0.03265424445271492,,
25,77,,,,371378144.0,0.024384494870901108
25,77,,,0.03242231905460358,,
26,80,,,,371378144.0,0.024384494870901108
26,80,,,0.03205205500125885,,
27,83,,,,371378144.0,0.024384494870901108
27,83,,,0.03200920298695564,,
28,86,,,,371378144.0,0.024384494870901108
28,86,,,0.031940288841724396,,
29,89,,,,371378144.0,0.024384494870901108
29,89,,,0.031961992383003235,,
30,92,,,,371378176.0,0.024384494870901108
30,92,,,0.03180926293134689,,
31,95,,,,371378176.0,0.024384494870901108
31,95,,,0.03174757584929466,,
32,98,,,,371378176.0,0.024384494870901108
32,98,,,0.03165169060230255,,
33,101,,,,371378176.0,0.024384494870901108
33,101,,,0.03167908266186714,,
34,104,,,,371378176.0,0.024384494870901108
34,104,,,0.0315849706530571,,
35,107,,,,371378176.0,0.024384494870901108
35,107,,,0.03157127648591995,,
36,110,,,,371378176.0,0.024384494870901108
36,110,,,0.03154142573475838,,
37,113,,,,371378176.0,0.024384494870901108
37,113,,,0.031520944088697433,,
38,116,,,,371378176.0,0.024384494870901108
38,116,,,0.03148138150572777,,
39,119,,,,371378176.0,0.024384494870901108
39,119,,,0.03147410973906517,,
40,122,,,,371378176.0,0.024384494870901108
40,122,,,0.03146560490131378,,
41,125,,,,371378176.0,0.024384494870901108
41,125,,,0.03145471215248108,,
42,128,,,,371378176.0,0.024384494870901108
42,128,,,0.03144935891032219,,
43,131,,,,371378176.0,0.024384494870901108
43,131,,,0.03143894299864769,,
44,134,,,,371378176.0,0.024384494870901108
44,134,,,0.031436748802661896,,
45,137,,,,371378176.0,0.024384494870901108
45,137,,,0.031432561576366425,,
46,140,,,,371378176.0,0.024384494870901108
46,140,,,0.03142397850751877,,
47,143,,,,371378176.0,0.024384494870901108
47,143,,,0.0314207598567009,,
48,146,,,,371378176.0,0.024384494870901108
48,146,,,0.03141908347606659,,
49,149,,,,371378176.0,0.024384494870901108
49,149,,,0.03141537308692932,,
50,152,,,,371378176.0,0.024384494870901108
50,152,,,0.03141312301158905,,
51,155,,,,371378176.0,0.024384494870901108
51,155,,,0.03141087666153908,,
52,158,,,,371378176.0,0.024384494870901108
52,158,,,0.03141048923134804,,
53,161,,,,371378176.0,0.024384494870901108
53,161,,,0.031408023089170456,,
54,164,,,,371378176.0,0.024384494870901108
54,164,,,0.0314069502055645,,
55,167,,,,371378176.0,0.024384494870901108
55,167,,,0.03140731155872345,,
56,170,,,,371378176.0,0.024384494870901108
56,170,,,0.03140607848763466,,
57,173,,,,371378176.0,0.024384494870901108
57,173,,,0.03140615299344063,,
58,176,,,,371378176.0,0.024384494870901108
58,176,,,0.03140420466661453,,
