epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,18454329344.0,0.399914026260376
0,2,,,29.599384307861328,,
1,5,,,,18454315008.0,0.6172641515731812
1,5,,,10.550710678100586,,
2,8,,,,18454300672.0,0.509395956993103
2,8,,,12.076847076416016,,
3,11,,,,18454294528.0,0.34115487337112427
3,11,,,11.686699867248535,,
4,14,,,,18454296576.0,0.3176876902580261
4,14,,,10.320162773132324,,
5,17,,,,18454306816.0,0.16175192594528198
5,17,,,8.686043739318848,,
6,20,,,,18454319104.0,0.17295056581497192
6,20,,,6.39491081237793,,
7,23,,,,18454333440.0,0.4542883038520813
7,23,,,5.607283592224121,,
8,26,,,,18454337536.0,0.41077280044555664
8,26,,,5.300204277038574,,
9,29,,,,18454333440.0,0.5711072683334351
9,29,,,5.020642280578613,,
10,32,,,,18454333440.0,0.0926346555352211
10,32,,,4.603557586669922,,
11,35,,,,18454327296.0,0.05316342040896416
11,35,,,4.176522254943848,,
12,38,,,,18454325248.0,0.05945722013711929
12,38,,,4.076121807098389,,
13,41,,,,18454329344.0,0.0929548367857933
13,41,,,3.8434996604919434,,
14,44,,,,18454329344.0,0.1273479163646698
14,44,,,3.7695298194885254,,
15,47,,,,18454335488.0,0.4603758752346039
15,47,,,3.719186782836914,,
16,50,,,,18454335488.0,0.4153482913970947
16,50,,,3.7973978519439697,,
17,53,,,,18454335488.0,0.46319127082824707
17,53,,,3.527698516845703,,
18,56,,,,18454333440.0,0.11839590966701508
18,56,,,3.492410898208618,,
19,59,,,,18454335488.0,0.09186803549528122
19,59,,,3.4682061672210693,,
20,62,,,,18454333440.0,0.038155294954776764
20,62,,,3.457329034805298,,
21,65,,,,18454335488.0,0.05945722013711929
21,65,,,3.4065592288970947,,
22,68,,,,18454335488.0,0.05945722013711929
22,68,,,3.393522024154663,,
23,71,,,,18454335488.0,0.06933654844760895
23,71,,,3.3606832027435303,,
24,74,,,,18454335488.0,0.12934601306915283
24,74,,,3.3424105644226074,,
25,77,,,,18454335488.0,0.12934601306915283
25,77,,,3.3529934883117676,,
26,80,,,,18454335488.0,0.0929548367857933
26,80,,,3.3417344093322754,,
27,83,,,,18454335488.0,0.0929548367857933
27,83,,,3.3257906436920166,,
28,86,,,,18454335488.0,0.06933654844760895
28,86,,,3.3297903537750244,,
29,89,,,,18454335488.0,0.06933654844760895
29,89,,,3.3279130458831787,,
30,92,,,,18454335488.0,0.06933654844760895
30,92,,,3.3258001804351807,,
31,95,,,,18454335488.0,0.038155294954776764
31,95,,,3.3240044116973877,,
32,98,,,,18454335488.0,0.06933654844760895
32,98,,,3.3254241943359375,,
33,101,,,,18454335488.0,0.06933654844760895
33,101,,,3.3223843574523926,,
34,104,,,,18454335488.0,0.06933654844760895
34,104,,,3.320899486541748,,
35,107,,,,18454335488.0,0.06933654844760895
35,107,,,3.319591522216797,,
36,110,,,,18454335488.0,0.06933654844760895
36,110,,,3.318666696548462,,
37,113,,,,18454335488.0,0.06933654844760895
37,113,,,3.3181257247924805,,
38,116,,,,18454335488.0,0.06933654844760895
38,116,,,3.3179681301116943,,
39,119,,,,18454335488.0,0.06933654844760895
39,119,,,3.318187713623047,,
40,122,,,,18454335488.0,0.06933654844760895
40,122,,,3.3183000087738037,,
41,125,,,,18454335488.0,0.06933654844760895
41,125,,,3.3173797130584717,,
42,128,,,,18454335488.0,0.06933654844760895
42,128,,,3.3174264430999756,,
43,131,,,,18454335488.0,0.06933654844760895
43,131,,,3.3173625469207764,,
44,134,,,,18454335488.0,0.06933654844760895
44,134,,,3.317736864089966,,
45,137,,,,18454335488.0,0.06933654844760895
45,137,,,3.3170223236083984,,
46,140,,,,18454335488.0,0.06933654844760895
46,140,,,3.3170485496520996,,
47,143,,,,18454335488.0,0.06933654844760895
47,143,,,3.3171095848083496,,
48,146,,,,18454335488.0,0.06933654844760895
48,146,,,3.317204713821411,,
49,149,,,,18454335488.0,0.06933654844760895
49,149,,,3.3169381618499756,,
50,152,,,,18454335488.0,0.06933654844760895
50,152,,,3.316877841949463,,
51,155,,,,18454335488.0,0.06933654844760895
51,155,,,3.3168582916259766,,
52,158,,,,18454335488.0,0.06933654844760895
52,158,,,3.316901206970215,,
53,161,,,,18454335488.0,0.06933654844760895
53,161,,,3.316854476928711,,
54,164,,,,18454335488.0,0.06933654844760895
54,164,,,3.31683349609375,,
55,167,,,,18454335488.0,0.06933654844760895
55,167,,,3.3168301582336426,,
56,170,,,,18454335488.0,0.06933654844760895
56,170,,,3.3168225288391113,,
57,173,,,,18454335488.0,0.06933654844760895
57,173,,,3.316774606704712,,
58,176,,,,18454335488.0,0.06933654844760895
58,176,,,3.3167853355407715,,
59,179,,,,18454335488.0,0.06933654844760895
59,179,,,3.316770315170288,,
60,182,,,,18454335488.0,0.06933654844760895
60,182,,,3.316770315170288,,
61,185,,,,18454335488.0,0.06933654844760895
61,185,,,3.3167548179626465,,
62,188,,,,18454335488.0,0.06933654844760895
62,188,,,3.3167474269866943,,
63,191,,,,18454335488.0,0.06933654844760895
63,191,,,3.316755771636963,,
64,194,,,,18454335488.0,0.06933654844760895
64,194,,,3.3167545795440674,,
65,197,,,,18454335488.0,0.06933654844760895
65,197,,,3.3167409896850586,,
66,200,,,,18454335488.0,0.06933654844760895
66,200,,,3.3167386054992676,,
67,203,,,,18454335488.0,0.06933654844760895
67,203,,,3.316739320755005,,
68,206,,,,18454335488.0,0.06933654844760895
68,206,,,3.316744565963745,,
69,209,,,,18454335488.0,0.06933654844760895
69,209,,,3.316739320755005,,
70,212,,,,18454335488.0,0.06933654844760895
70,212,,,3.3167409896850586,,
71,215,,,,18454335488.0,0.06933654844760895
71,215,,,3.316737651824951,,
72,218,,,,18454335488.0,0.06933654844760895
72,218,,,3.316737651824951,,
73,221,,,,18454335488.0,0.06933654844760895
73,221,,,3.316734790802002,,
74,224,,,,18454335488.0,0.06933654844760895
74,224,,,3.31673526763916,,
75,227,,,,18454335488.0,0.06933654844760895
75,227,,,3.31673526763916,,
76,230,,,,18454335488.0,0.06933654844760895
