epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,8876030976.0,1.3903909921646118
0,2,,,2.932853937149048,,
1,5,,,,8876025856.0,0.5744258165359497
1,5,,,1.4348381757736206,,
2,8,,,,8876023808.0,0.8761336207389832
2,8,,,1.522432804107666,,
3,11,,,,8876023808.0,0.2965865731239319
3,11,,,1.4190815687179565,,
4,14,,,,8876029952.0,0.28303149342536926
4,14,,,1.066826343536377,,
5,17,,,,8876033024.0,0.6012338399887085
5,17,,,1.0036132335662842,,
6,20,,,,8876035072.0,1.3402365446090698
6,20,,,0.8177929520606995,,
7,23,,,,8876036096.0,1.1458169221878052
7,23,,,0.8115099668502808,,
8,26,,,,8876036096.0,0.6999292969703674
8,26,,,0.7070003151893616,,
9,29,,,,8876034048.0,0.13364605605602264
9,29,,,0.6227012872695923,,
10,32,,,,8876033024.0,0.36504608392715454
10,32,,,0.5615686178207397,,
11,35,,,,8876034048.0,0.44885745644569397
11,35,,,0.5463972687721252,,
12,38,,,,8876034048.0,0.1998085379600525
12,38,,,0.5440313816070557,,
13,41,,,,8876035072.0,0.40346938371658325
13,41,,,0.5132319331169128,,
14,44,,,,8876036096.0,0.2383337914943695
14,44,,,0.5162785053253174,,
15,47,,,,8876036096.0,0.16703471541404724
15,47,,,0.4904622435569763,,
16,50,,,,8876035072.0,0.1335236132144928
16,50,,,0.48293161392211914,,
17,53,,,,8876035072.0,0.13630303740501404
17,53,,,0.4870525300502777,,
18,56,,,,8876035072.0,0.12173722684383392
18,56,,,0.4848548173904419,,
19,59,,,,8876035072.0,0.12173722684383392
19,59,,,0.4788236916065216,,
20,62,,,,8876035072.0,0.12173722684383392
20,62,,,0.47966164350509644,,
21,65,,,,8876035072.0,0.12173722684383392
21,65,,,0.48054513335227966,,
22,68,,,,8876035072.0,0.1490488201379776
22,68,,,0.4802052080631256,,
23,71,,,,8876035072.0,0.12173722684383392
23,71,,,0.4769743084907532,,
24,74,,,,8876035072.0,0.12173722684383392
24,74,,,0.47557446360588074,,
25,77,,,,8876035072.0,0.12173722684383392
25,77,,,0.47466427087783813,,
26,80,,,,8876035072.0,0.12173722684383392
26,80,,,0.4746270477771759,,
27,83,,,,8876035072.0,0.12173722684383392
27,83,,,0.47375887632369995,,
28,86,,,,8876035072.0,0.12173722684383392
28,86,,,0.4736548066139221,,
29,89,,,,8876035072.0,0.12173722684383392
29,89,,,0.4733234941959381,,
30,92,,,,8876035072.0,0.12173722684383392
30,92,,,0.47332510352134705,,
31,95,,,,8876035072.0,0.12173722684383392
31,95,,,0.47337502241134644,,
32,98,,,,8876035072.0,0.12173722684383392
32,98,,,0.4733082950115204,,
33,101,,,,8876035072.0,0.12173722684383392
33,101,,,0.47316640615463257,,
34,104,,,,8876035072.0,0.12173722684383392
34,104,,,0.47312405705451965,,
35,107,,,,8876035072.0,0.12173722684383392
35,107,,,0.47315460443496704,,
36,110,,,,8876035072.0,0.12173722684383392
36,110,,,0.47301194071769714,,
37,113,,,,8876035072.0,0.12173722684383392
37,113,,,0.47298169136047363,,
38,116,,,,8876035072.0,0.12173722684383392
38,116,,,0.4729722738265991,,
39,119,,,,8876035072.0,0.12173722684383392
39,119,,,0.4729616940021515,,
40,122,,,,8876035072.0,0.12173722684383392
40,122,,,0.47292858362197876,,
41,125,,,,8876035072.0,0.12173722684383392
41,125,,,0.47293171286582947,,
42,128,,,,8876035072.0,0.12173722684383392
42,128,,,0.47294268012046814,,
43,131,,,,8876035072.0,0.12173722684383392
43,131,,,0.47291556000709534,,
44,134,,,,8876035072.0,0.12173722684383392
44,134,,,0.4729088246822357,,
45,137,,,,8876035072.0,0.12173722684383392
45,137,,,0.4729170501232147,,
46,140,,,,8876035072.0,0.12173722684383392
46,140,,,0.4729018807411194,,
47,143,,,,8876035072.0,0.12173722684383392
47,143,,,0.4729028046131134,,
48,146,,,,8876035072.0,0.12173722684383392
48,146,,,0.47290006279945374,,
49,149,,,,8876035072.0,0.12173722684383392
49,149,,,0.4728998839855194,,
50,152,,,,8876035072.0,0.12173722684383392
50,152,,,0.4728962481021881,,
51,155,,,,8876035072.0,0.12173722684383392
51,155,,,0.4728906750679016,,
52,158,,,,8876035072.0,0.12173722684383392
52,158,,,0.4728906750679016,,
53,161,,,,8876035072.0,0.12173722684383392
53,161,,,0.47289255261421204,,
54,164,,,,8876035072.0,0.12173722684383392
54,164,,,0.4728902280330658,,
55,167,,,,8876035072.0,0.12173722684383392
55,167,,,0.4728875756263733,,
56,170,,,,8876035072.0,0.12173722684383392
56,170,,,0.47288694977760315,,
57,173,,,,8876035072.0,0.12173722684383392
57,173,,,0.47288745641708374,,
58,176,,,,8876035072.0,0.12173722684383392
58,176,,,0.47288766503334045,,
59,179,,,,8876035072.0,0.12173722684383392
59,179,,,0.47288575768470764,,
60,182,,,,8876035072.0,0.12173722684383392
60,182,,,0.47288501262664795,,
61,185,,,,8876035072.0,0.12173722684383392
61,185,,,0.47288525104522705,,
62,188,,,,8876035072.0,0.12173722684383392
62,188,,,0.4728851616382599,,
63,191,,,,8876035072.0,0.12173722684383392
63,191,,,0.4728844463825226,,
64,194,,,,8876035072.0,0.12173722684383392
64,194,,,0.4728844463825226,,
65,197,,,,8876035072.0,0.12173722684383392
65,197,,,0.4728841185569763,,
66,200,,,,8876035072.0,0.12173722684383392
66,200,,,0.47288429737091064,,
67,203,,,,8876035072.0,0.12173722684383392
67,203,,,0.472883939743042,,
68,206,,,,8876035072.0,0.12173722684383392
68,206,,,0.47288376092910767,,
69,209,,,,8876035072.0,0.12173722684383392
69,209,,,0.4728836119174957,,
70,212,,,,8876035072.0,0.12173722684383392
70,212,,,0.47288382053375244,,
71,215,,,,8876035072.0,0.12173722684383392
71,215,,,0.47288355231285095,,
72,218,,,,8876035072.0,0.12173722684383392
72,218,,,0.47288352251052856,,
73,221,,,,8876035072.0,0.12173722684383392
73,221,,,0.4728834927082062,,
74,224,,,,8876035072.0,0.12173722684383392
74,224,,,0.4728836417198181,,
75,227,,,,8876035072.0,0.12173722684383392
75,227,,,0.4728834331035614,,
76,230,,,,8876035072.0,0.12173722684383392
76,230,,,0.4728834331035614,,
77,233,,,,8876035072.0,0.12173722684383392
77,233,,,0.4728834331035614,,
78,236,,,,8876035072.0,0.12173722684383392
78,236,,,0.4728834331035614,,
79,239,,,,8876035072.0,0.12173722684383392
79,239,,,0.47288331389427185,,
80,242,,,,8876035072.0,0.12173722684383392
80,242,,,0.4728834331035614,,
81,245,,,,8876035072.0,0.12173722684383392
81,245,,,0.47288334369659424,,
82,248,,,,8876035072.0,0.12173722684383392
82,248,,,0.47288334369659424,,
83,251,,,,8876035072.0,0.12173722684383392
83,251,,,0.47288331389427185,,
84,254,,,,8876035072.0,0.12173722684383392
84,254,,,0.47288331389427185,,
85,257,,,,8876035072.0,0.12173722684383392
85,257,,,0.47288331389427185,,
86,260,,,,8876035072.0,0.12173722684383392
86,260,,,0.47288331389427185,,
87,263,,,,8876035072.0,0.12173722684383392
87,263,,,0.4728832542896271,,
88,266,,,,8876035072.0,0.12173722684383392
88,266,,,0.47288331389427185,,
89,269,,,,8876035072.0,0.12173722684383392
89,269,,,0.4728832542896271,,
90,272,,,,8876035072.0,0.12173722684383392
90,272,,,0.47288331389427185,,
91,275,,,,8876035072.0,0.12173722684383392
91,275,,,0.47288331389427185,,
92,278,,,,8876035072.0,0.12173722684383392
92,278,,,0.4728832542896271,,
93,281,,,,8876035072.0,0.12173722684383392
93,281,,,0.4728832542896271,,
94,284,,,,8876035072.0,0.12173722684383392
94,284,,,0.4728832542896271,,
95,287,,,,8876035072.0,0.12173722684383392
95,287,,,0.4728832542896271,,
96,290,,,,8876035072.0,0.12173722684383392
96,290,,,0.4728832542896271,,
97,293,,,,8876035072.0,0.12173722684383392
97,293,,,0.4728832542896271,,
98,296,,,,8876035072.0,0.12173722684383392
98,296,,,0.4728832542896271,,
99,299,,,,8876035072.0,0.12173722684383392
99,299,,,0.4728832542896271,,
100,302,,,,8876035072.0,0.12173722684383392
100,302,,,0.4728832542896271,,
101,305,,,,8876035072.0,0.12173722684383392
101,305,,,0.4728832542896271,,
102,308,,,,8876035072.0,0.12173722684383392
102,308,,,0.4728832542896271,,
103,311,,,,8876035072.0,0.12173722684383392
103,311,,,0.4728832542896271,,
104,314,,,,8876035072.0,0.12173722684383392
104,314,,,0.4728832542896271,,
105,317,,,,8876035072.0,0.12173722684383392
105,317,,,0.4728832542896271,,
106,320,,,,8876035072.0,0.12173722684383392
106,320,,,0.4728832542896271,,
107,323,,,,8876035072.0,0.12173722684383392
107,323,,,0.4728832542896271,,
108,326,,,,8876035072.0,0.12173722684383392
108,326,,,0.4728832542896271,,
109,329,,,,8876035072.0,0.12173722684383392
109,329,,,0.4728832542896271,,
110,332,,,,8876035072.0,0.12173722684383392
110,332,,,0.4728832542896271,,
111,335,,,,8876035072.0,0.12173722684383392
111,335,,,0.4728832542896271,,
112,338,,,,8876035072.0,0.12173722684383392
112,338,,,0.4728832542896271,,
113,341,,,,8876035072.0,0.12173722684383392
113,341,,,0.47288331389427185,,
