epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,2,,,,9084990464.0,0.439650297164917
0,2,,,6947512.0,,
1,5,,,,9084969984.0,0.1411290168762207
1,5,,,6804034.0,,
2,8,,,,9084947456.0,0.14158876240253448
2,8,,,6807195.5,,
3,11,,,,9084925952.0,0.17475222051143646
3,11,,,6409114.5,,
4,14,,,,9084904448.0,0.17475222051143646
4,14,,,6400862.0,,
5,17,,,,9084880896.0,0.17475222051143646
5,17,,,6408817.0,,
6,20,,,,9084869632.0,0.13439133763313293
6,20,,,6468798.0,,
7,23,,,,9084860416.0,0.13439133763313293
7,23,,,6874753.5,,
8,26,,,,9084849152.0,0.13439133763313293
8,26,,,6362937.5,,
9,29,,,,9084837888.0,0.13439133763313293
9,29,,,6408843.5,,
10,32,,,,9084827648.0,0.13439133763313293
10,32,,,6896549.0,,
11,35,,,,9084822528.0,0.13439133763313293
11,35,,,6835914.5,,
12,38,,,,9084817408.0,0.13439133763313293
12,38,,,6794057.0,,
13,41,,,,9084812288.0,0.13439133763313293
13,41,,,6777813.5,,
14,44,,,,9084806144.0,0.13439133763313293
14,44,,,6793499.0,,
15,47,,,,9084804096.0,0.13439133763313293
15,47,,,6900509.0,,
16,50,,,,9084802048.0,0.13439133763313293
16,50,,,6860091.0,,
17,53,,,,9084798976.0,0.13439133763313293
17,53,,,6818357.5,,
18,56,,,,9084795904.0,0.13439133763313293
18,56,,,6383213.0,,
19,59,,,,9084794880.0,0.13439133763313293
19,59,,,6519092.0,,
20,62,,,,9084793856.0,0.13439133763313293
20,62,,,6440011.5,,
21,65,,,,9084791808.0,0.13439133763313293
21,65,,,6424148.0,,
22,68,,,,9084791808.0,0.13439133763313293
22,68,,,6869456.5,,
23,71,,,,9084790784.0,0.13439133763313293
23,71,,,6366587.0,,
24,74,,,,9084789760.0,0.13439133763313293
24,74,,,6872463.5,,
25,77,,,,9084789760.0,0.13439133763313293
25,77,,,6742539.5,,
26,80,,,,9084787712.0,0.13439133763313293
26,80,,,6885097.0,,
27,83,,,,9084787712.0,0.13439133763313293
27,83,,,6396084.5,,
28,86,,,,9084787712.0,0.13439133763313293
28,86,,,6792606.0,,
29,89,,,,9084787712.0,0.13439133763313293
29,89,,,6874358.0,,
30,92,,,,9084786688.0,0.13439133763313293
30,92,,,6897091.5,,
31,95,,,,9084786688.0,0.13439133763313293
31,95,,,6834947.5,,
32,98,,,,9084786688.0,0.13439133763313293
32,98,,,6800788.0,,
33,101,,,,9084786688.0,0.13439133763313293
33,101,,,6886619.0,,
34,104,,,,9084785664.0,0.13439133763313293
34,104,,,6208236.0,,
35,107,,,,9084785664.0,0.13439133763313293
35,107,,,6854206.0,,
36,110,,,,9084785664.0,0.13439133763313293
36,110,,,6828351.5,,
37,113,,,,9084785664.0,0.13439133763313293
37,113,,,6503293.0,,
38,116,,,,9084785664.0,0.13439133763313293
38,116,,,6805070.0,,
39,119,,,,9084785664.0,0.13439133763313293
39,119,,,6454093.0,,
40,122,,,,9084785664.0,0.13439133763313293
40,122,,,6484106.0,,
41,125,,,,9084785664.0,0.13439133763313293
41,125,,,6776809.0,,
42,128,,,,9084785664.0,0.13439133763313293
42,128,,,6775222.0,,
43,131,,,,9084785664.0,0.13439133763313293
43,131,,,6876800.5,,
44,134,,,,9084785664.0,0.13439133763313293
44,134,,,6452564.5,,
45,137,,,,9084785664.0,0.13439133763313293
45,137,,,6903469.5,,
46,140,,,,9084785664.0,0.13439133763313293
46,140,,,6834916.5,,
47,143,,,,9084785664.0,0.13439133763313293
47,143,,,6875223.5,,
48,146,,,,9084785664.0,0.13439133763313293
48,146,,,6724443.0,,
49,149,,,,9084785664.0,0.13439133763313293
49,149,,,6889947.5,,
50,152,,,,9084785664.0,0.13439133763313293
50,152,,,6730489.5,,
51,155,,,,9084785664.0,0.13439133763313293
51,155,,,6533012.0,,
52,158,,,,9084785664.0,0.13439133763313293
52,158,,,6250627.0,,
53,161,,,,9084785664.0,0.13439133763313293
53,161,,,6826503.0,,
54,164,,,,9084785664.0,0.13439133763313293
54,164,,,6938799.5,,
55,167,,,,9084785664.0,0.13439133763313293
55,167,,,6435740.5,,
56,170,,,,9084785664.0,0.13439133763313293
56,170,,,6320064.5,,
57,173,,,,9084785664.0,0.13439133763313293
57,173,,,6853994.5,,
58,176,,,,9084785664.0,0.13439133763313293
58,176,,,6368336.5,,
59,179,,,,9084785664.0,0.13439133763313293
59,179,,,6814262.0,,
60,182,,,,9084785664.0,0.13439133763313293
60,182,,,6241489.0,,
61,185,,,,9084785664.0,0.13439133763313293
61,185,,,6848828.5,,
62,188,,,,9084785664.0,0.13439133763313293
62,188,,,6467733.5,,
63,191,,,,9084785664.0,0.13439133763313293
63,191,,,6817500.5,,
64,194,,,,9084785664.0,0.13439133763313293
64,194,,,6423576.0,,
65,197,,,,9084785664.0,0.13439133763313293
65,197,,,6448069.5,,
66,200,,,,9084785664.0,0.13439133763313293
66,200,,,6819880.0,,
67,203,,,,9084785664.0,0.13439133763313293
67,203,,,6897170.5,,
68,206,,,,9084785664.0,0.13439133763313293
68,206,,,6789905.0,,
69,209,,,,9084785664.0,0.13439133763313293
69,209,,,6767289.5,,
70,212,,,,9084785664.0,0.13439133763313293
70,212,,,6323639.5,,
71,215,,,,9084785664.0,0.13439133763313293
71,215,,,6880851.0,,
72,218,,,,9084785664.0,0.13439133763313293
72,218,,,6912365.0,,
73,221,,,,9084785664.0,0.13439133763313293
73,221,,,6479427.0,,
74,224,,,,9084785664.0,0.13439133763313293
74,224,,,6691235.5,,
75,227,,,,9084785664.0,0.13439133763313293
75,227,,,6777057.5,,
76,230,,,,9084785664.0,0.13439133763313293
76,230,,,6266466.0,,
77,233,,,,9084785664.0,0.13439133763313293
77,233,,,6456896.0,,
78,236,,,,9084785664.0,0.13439133763313293
78,236,,,6819343.0,,
79,239,,,,9084785664.0,0.13439133763313293
79,239,,,6764535.0,,
80,242,,,,9084785664.0,0.13439133763313293
80,242,,,6750541.5,,
81,245,,,,9084785664.0,0.13439133763313293
81,245,,,6798448.5,,
82,248,,,,9084785664.0,0.13439133763313293
82,248,,,6824365.5,,
83,251,,,,9084785664.0,0.13439133763313293
83,251,,,6823488.0,,
84,254,,,,9084785664.0,0.13439133763313293
84,254,,,6802627.5,,
85,257,,,,9084785664.0,0.13439133763313293
85,257,,,6648398.0,,
86,260,,,,9084785664.0,0.13439133763313293
86,260,,,6781228.0,,
87,263,,,,9084785664.0,0.13439133763313293
87,263,,,6818408.5,,
88,266,,,,9084785664.0,0.13439133763313293
88,266,,,6393755.0,,
89,269,,,,9084785664.0,0.13439133763313293
89,269,,,6926637.5,,
90,272,,,,9084785664.0,0.13439133763313293
90,272,,,6814469.5,,
91,275,,,,9084785664.0,0.13439133763313293
91,275,,,6890011.0,,
92,278,,,,9084785664.0,0.13439133763313293
92,278,,,6895499.5,,
93,281,,,,9084785664.0,0.13439133763313293
93,281,,,6797246.5,,
94,284,,,,9084785664.0,0.13439133763313293
94,284,,,6935954.5,,
95,287,,,,9084785664.0,0.13439133763313293
95,287,,,6437635.0,,
96,290,,,,9084785664.0,0.13439133763313293
96,290,,,6949401.5,,
97,293,,,,9084785664.0,0.13439133763313293
97,293,,,6672178.5,,
