step,val_mse,val_regret,epoch,train_loss,test_mse,test_regret
0,132.35931396484375,26.89893341064453,0,,,
24,131.64755249023438,26.18548011779785,0,,,
24,,,0,131.93540954589844,,
49,130.94198608398438,24.910974502563477,1,,,
49,,,1,131.2239227294922,,
74,130.26393127441406,24.619583129882812,2,,,
74,,,2,130.50347900390625,,
99,129.57554626464844,24.056194305419922,3,,,
99,,,3,129.79495239257812,,
124,128.8913116455078,23.83066177368164,4,,,
124,,,4,129.0902099609375,,
149,128.2056884765625,22.450218200683594,5,,,
149,,,5,128.38792419433594,,
174,127.54313659667969,20.894800186157227,6,,,
174,,,6,127.69143676757812,,
199,126.86921691894531,19.81082534790039,7,,,
199,,,7,126.99594116210938,,
224,126.17518615722656,19.132139205932617,8,,,
224,,,8,126.3072280883789,,
249,125.51969909667969,17.96218490600586,9,,,
249,,,9,125.61939239501953,,
274,124.84831237792969,17.228958129882812,10,,,
274,,,10,124.94168853759766,,
299,124.20667266845703,16.5019474029541,11,,,
299,,,11,124.26370239257812,,
324,123.54258728027344,16.17568016052246,12,,,
324,,,12,123.5978012084961,,
349,122.88462829589844,15.95274543762207,13,,,
349,,,13,122.9182357788086,,
374,122.2363510131836,16.013277053833008,14,,,
374,,,14,122.25491333007812,,
399,121.59064483642578,15.946372032165527,15,,,
399,,,15,121.59410858154297,,
424,120.9652328491211,14.942752838134766,16,,,
424,,,16,120.9330825805664,,
449,120.32792663574219,14.707496643066406,17,,,
449,,,17,120.2825698852539,,
474,119.68250274658203,14.752462387084961,18,,,
474,,,18,119.6340560913086,,
499,119.0501480102539,14.698025703430176,19,,,
499,,,19,118.98628997802734,,
524,118.42417907714844,14.596787452697754,20,,,
524,,,20,118.34626007080078,,
549,117.80342102050781,13.566279411315918,21,,,
549,,,21,117.70410919189453,,
574,117.173828125,12.884221076965332,22,,,
574,,,22,117.0716781616211,,
599,116.5721206665039,12.299858093261719,23,,,
599,,,23,116.43463897705078,,
624,115.9500503540039,12.300253868103027,24,,,
624,,,24,115.820068359375,,
649,115.3563461303711,11.822297096252441,25,,,
649,,,25,115.18630981445312,,
674,114.75552368164062,11.561156272888184,26,,,
674,,,26,114.56842041015625,,
699,114.1576156616211,10.894076347351074,27,,,
699,,,27,113.95518493652344,,
724,113.53874206542969,10.638248443603516,28,,,
724,,,28,113.3496322631836,,
749,112.96895599365234,10.655318260192871,29,,,
749,,,29,112.73175811767578,,
774,112.3752212524414,10.609230995178223,30,,,
774,,,30,112.1307601928711,,
799,111.78913879394531,10.342002868652344,31,,,
799,,,31,111.52648162841797,,
824,111.21882629394531,9.97480583190918,32,,,
824,,,32,110.93226623535156,,
849,110.62367248535156,9.650280952453613,33,,,
849,,,33,110.3407974243164,,
874,110.03780364990234,9.610350608825684,34,,,
874,,,34,109.74669647216797,,
899,109.46745300292969,9.610350608825684,35,,,
899,,,35,109.15911865234375,,
924,108.898681640625,9.680513381958008,36,,,
924,,,36,108.57388305664062,,
949,108.33480834960938,9.443675994873047,37,,,
949,,,37,107.9970932006836,,
974,107.77050018310547,9.188156127929688,38,,,
974,,,38,107.41741943359375,,
999,107.20154571533203,9.118284225463867,39,,,
999,,,39,106.84619140625,,
1024,106.6482162475586,8.805805206298828,40,,,
1024,,,40,106.27165985107422,,
1049,106.10697937011719,8.832934379577637,41,,,
1049,,,41,105.7053451538086,,
1074,105.54398345947266,8.8125581741333,42,,,
1074,,,42,105.14306640625,,
1099,104.98785400390625,8.8125581741333,43,,,
1099,,,43,104.57997131347656,,
1124,104.439453125,8.817587852478027,44,,,
1124,,,44,104.02359008789062,,
1149,104.17013549804688,8.658601760864258,45,,,
1149,,,45,103.59664154052734,,
1174,103.9038314819336,8.658601760864258,46,,,
1174,,,46,103.32186889648438,,
1199,103.63130187988281,8.516364097595215,47,,,
1199,,,47,103.04442596435547,,
