epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,0,,,,130.72227478027344,0.12739166617393494
0,2,,,,130.23289489746094,0.0945046991109848
0,2,,,465.1470947265625,,
1,5,,,,130.09628295898438,0.0947108268737793
1,5,,,407.5121154785156,,
2,8,,,,129.9293670654297,0.0947108268737793
2,8,,,368.7251281738281,,
3,11,,,,129.81602478027344,0.11761417239904404
3,11,,,315.99493408203125,,
4,14,,,,129.81736755371094,0.0734604150056839
4,14,,,292.2688293457031,,
5,17,,,,129.83609008789062,0.07253950834274292
5,17,,,282.6617126464844,,
6,20,,,,129.9261016845703,0.08760008960962296
6,20,,,282.3395690917969,,
7,23,,,,129.9990692138672,0.10721909999847412
7,23,,,276.2293395996094,,
8,26,,,,130.0748748779297,0.10721909999847412
8,26,,,278.18017578125,,
9,29,,,,130.16928100585938,0.10721909999847412
9,29,,,273.39208984375,,
10,32,,,,130.1813201904297,0.10721909999847412
10,32,,,286.6072998046875,,
11,35,,,,130.1779022216797,0.10721909999847412
11,35,,,294.2801513671875,,
12,38,,,,130.1891326904297,0.12497947365045547
12,38,,,290.0589294433594,,
13,41,,,,130.19509887695312,0.12497947365045547
13,41,,,280.66851806640625,,
14,44,,,,130.20816040039062,0.12497947365045547
14,44,,,279.6481018066406,,
15,47,,,,130.22654724121094,0.12497947365045547
15,47,,,282.0963439941406,,
16,50,,,,130.2383575439453,0.12497947365045547
16,50,,,276.9102783203125,,
17,53,,,,130.25962829589844,0.12497947365045547
17,53,,,281.84124755859375,,
18,56,,,,130.26638793945312,0.12497947365045547
18,56,,,277.77386474609375,,
19,59,,,,130.27491760253906,0.12497947365045547
19,59,,,283.4755859375,,
20,62,,,,130.2804412841797,0.12497947365045547
20,62,,,286.5207824707031,,
21,65,,,,130.2869110107422,0.12497947365045547
21,65,,,285.78173828125,,
22,68,,,,130.29212951660156,0.12497947365045547
22,68,,,293.0710144042969,,
23,71,,,,130.2955780029297,0.12497947365045547
23,71,,,294.17559814453125,,
24,74,,,,130.29916381835938,0.12497947365045547
24,74,,,293.8459167480469,,
25,77,,,,130.30108642578125,0.12497947365045547
25,77,,,292.8304443359375,,
26,80,,,,130.30325317382812,0.12497947365045547
26,80,,,284.5043029785156,,
27,83,,,,130.30593872070312,0.12497947365045547
27,83,,,287.7617492675781,,
28,86,,,,130.30828857421875,0.12497947365045547
28,86,,,289.3818054199219,,
29,89,,,,130.3093719482422,0.12497947365045547
29,89,,,287.6077575683594,,
30,92,,,,130.31094360351562,0.12497947365045547
30,92,,,299.4035339355469,,
31,95,,,,130.3119354248047,0.12497947365045547
31,95,,,291.39678955078125,,
32,98,,,,130.31301879882812,0.12497947365045547
32,98,,,293.97760009765625,,
33,101,,,,130.31333923339844,0.12497947365045547
33,101,,,291.0238342285156,,
34,104,,,,130.31356811523438,0.12497947365045547
34,104,,,288.2153625488281,,
35,107,,,,130.3144073486328,0.12497947365045547
35,107,,,283.8869934082031,,
36,110,,,,130.31448364257812,0.12497947365045547
36,110,,,290.81158447265625,,
37,113,,,,130.3147735595703,0.12497947365045547
37,113,,,299.88336181640625,,
38,116,,,,130.31492614746094,0.12497947365045547
38,116,,,288.4219665527344,,
39,119,,,,130.31500244140625,0.12497947365045547
39,119,,,286.0177307128906,,
40,122,,,,130.31521606445312,0.12497947365045547
40,122,,,295.0017395019531,,
41,125,,,,130.31539916992188,0.12497947365045547
41,125,,,287.1927185058594,,
42,128,,,,130.31553649902344,0.12497947365045547
42,128,,,294.9949645996094,,
43,131,,,,130.31564331054688,0.12497947365045547
43,131,,,288.7649841308594,,
44,134,,,,130.31582641601562,0.12497947365045547
44,134,,,285.2452392578125,,
45,137,,,,130.31600952148438,0.12497947365045547
45,137,,,284.1416320800781,,
46,140,,,,130.31600952148438,0.12497947365045547
46,140,,,283.1513366699219,,
47,143,,,,130.3161163330078,0.12497947365045547
47,143,,,300.4444580078125,,
48,146,,,,130.3161163330078,0.12497947365045547
48,146,,,291.97576904296875,,
49,149,,,,130.31619262695312,0.12497947365045547
49,149,,,288.0591735839844,,
50,152,,,,130.31622314453125,0.12497947365045547
50,152,,,287.99468994140625,,
51,155,,,,130.31622314453125,0.12497947365045547
51,155,,,287.79571533203125,,
52,158,,,,130.31625366210938,0.12497947365045547
52,158,,,294.9808044433594,,
53,161,,,,130.31626892089844,0.12497947365045547
53,161,,,291.2657470703125,,
54,164,,,,130.31626892089844,0.12497947365045547
54,164,,,284.46441650390625,,
55,167,,,,130.31629943847656,0.12497947365045547
55,167,,,284.95001220703125,,
56,168,148.05995178222656,0.126268669962883,,,
