step,val_mse,val_regret,epoch,train_loss,test_mse,test_regret
0,151.2594757080078,26.570663452148438,0,,,
24,151.14146423339844,25.314523696899414,0,,,
24,,,0,1388.1212158203125,,
49,151.0279541015625,24.086505889892578,1,,,
49,,,1,1388.3671875,,
74,150.92001342773438,22.307443618774414,2,,,
74,,,2,1388.4580078125,,
99,150.8180694580078,17.78679656982422,3,,,
99,,,3,1387.31689453125,,
124,150.71713256835938,17.30022621154785,4,,,
124,,,4,1385.3154296875,,
149,150.61712646484375,15.633136749267578,5,,,
149,,,5,1382.5791015625,,
174,150.5238800048828,14.445565223693848,6,,,
174,,,6,1379.2950439453125,,
199,150.4347381591797,13.12649154663086,7,,,
199,,,7,1376.3330078125,,
224,150.34852600097656,12.599538803100586,8,,,
224,,,8,1375.2813720703125,,
249,150.2652130126953,11.811169624328613,9,,,
249,,,9,1372.9146728515625,,
274,150.1831512451172,11.31173324584961,10,,,
274,,,10,1366.7802734375,,
299,150.10728454589844,11.23794937133789,11,,,
299,,,11,1363.583251953125,,
324,150.0331573486328,10.639442443847656,12,,,
324,,,12,1357.21630859375,,
349,149.96173095703125,9.972516059875488,13,,,
349,,,13,1351.29443359375,,
374,149.89395141601562,9.358464241027832,14,,,
374,,,14,1342.9189453125,,
399,149.82611083984375,9.461650848388672,15,,,
399,,,15,1337.0703125,,
424,149.76504516601562,9.405538558959961,16,,,
424,,,16,1331.5958251953125,,
449,149.69720458984375,9.216360092163086,17,,,
449,,,17,1325.560302734375,,
474,149.6389923095703,9.297181129455566,18,,,
474,,,18,1318.491455078125,,
499,149.58030700683594,9.264840126037598,19,,,
499,,,19,1314.0406494140625,,
524,149.52198791503906,8.493939399719238,20,,,
524,,,20,1307.7857666015625,,
549,149.47068786621094,8.534683227539062,21,,,
549,,,21,1301.2745361328125,,
574,149.41957092285156,8.534683227539062,22,,,
574,,,22,1292.7578125,,
599,149.36859130859375,8.534683227539062,23,,,
599,,,23,1282.990966796875,,
624,149.31317138671875,8.498536109924316,24,,,
624,,,24,1276.1612548828125,,
649,149.2917022705078,8.430314064025879,25,,,
649,,,25,1269.05810546875,,
674,149.26866149902344,8.437132835388184,26,,,
674,,,26,1267.20556640625,,
699,149.24948120117188,8.437132835388184,27,,,
699,,,27,1264.3829345703125,,
724,149.2267303466797,8.520624160766602,28,,,
724,,,28,1260.090087890625,,
749,149.2069549560547,8.48885440826416,29,,,
749,,,29,1254.707763671875,,
774,149.19488525390625,8.48885440826416,30,,,
774,,,30,1252.8304443359375,,
799,149.18389892578125,8.354243278503418,31,,,
799,,,31,1247.848876953125,,
824,149.1748046875,8.354243278503418,32,,,
824,,,32,1244.6624755859375,,
849,149.1641845703125,8.349294662475586,33,,,
849,,,33,1241.678466796875,,
874,149.15480041503906,8.349294662475586,34,,,
874,,,34,1239.6673583984375,,
899,149.14329528808594,8.349294662475586,35,,,
899,,,35,1239.1038818359375,,
924,149.13343811035156,8.349294662475586,36,,,
924,,,36,1233.9100341796875,,
949,149.12307739257812,8.349294662475586,37,,,
949,,,37,1230.404296875,,
974,149.11805725097656,8.349294662475586,38,,,
974,,,38,1227.6544189453125,,
999,149.11318969726562,8.385594367980957,39,,,
999,,,39,1226.76904296875,,
1024,149.1079559326172,8.385594367980957,40,,,
1024,,,40,1225.29736328125,,
1049,149.1029510498047,8.385594367980957,41,,,
1049,,,41,1224.2919921875,,
1074,149.1002960205078,8.385594367980957,42,,,
1074,,,42,1221.3983154296875,,
1099,149.09768676757812,8.385594367980957,43,,,
1099,,,43,1220.1663818359375,,
1100,,,44,,141.65390014648438,6.968540191650391
